POP	899875
EGG	442864
PIECE	9496598
HEART	374048
	4824672
ROBIN EGG	13464
MULTIPLE FORM	1802517
BELL	40660
BAR	4783974
RABBIT	46127
MEDALLION	20023
SOLID RABBIT	8745
SANTA	71342
BUNNY	188597
TRIPLE HEART	536
CROSS	5839
SOLID CARROT	2352
SOLID SANTA	8779
LETTER	992
HOLLOW EGG	14337
BALL	603266
SOLID ICICLE	747
GEM	19681
WITCH	161
BOTTLE	42337
SNOWMAN	20404
PUMPKIN	91959
CUPID	961
GIFT	55
ORNAMENT	2452
SAME UPC ALL FORMS	16320
STAR	44411
CUBE	3373
FIGURE	41448
COIN	71344
BASKETBALL	3194
FRUIT	14866
SANTA FACE	2563
HOLLOW TURKEY	143
ROSEBUD	1532
SOLID LEAF	27
ANGEL	2064
LADY BUG	54
TURKEY	226
SOLID TURKEY	96
DREIDL	13
BANANA	972
TREE	16132
KISS	770523
POP AND POWDER	76923
PAINTBRUSH AND POWDER	5704
NUGGET	154571
BUG	41250
SOLID BUNNY	43533
POP AND LIQUID	35550
PATTIE	251384
BAT	11515
SNOWFLAKE	9087
GHOST BAR	2245
SOLID KISS	9763
FROG	11047
STICK	295863
CUP	566425
ANIMAL	8224
BEAR	232218
MORSEL	193
TEDDY BEAR	5
SOLID HEART	5936
CARD	1021
SOLID EGG	35576
PACIFIER	11229
LIP	11203
LEAF	19679
BUGS & BEES	2277
ASSORTED	54153
PUMPKIN PATCH	458
REINDEER	6800
SOLID BELL	2721
SOLID BALL	5745
CALENDAR	2826
HOLLOW KISS	105
FOOTBALL	5887
ROLL	208022
ANGEL ORNAMENT	3
SANTA ORNAMENT	3
RING	142750
ROSE	11027
RACER RING	2422
SOLID ROSE & HEART	2836
TURTLE DOVE	406
NUTCRACKER BAR	5930
CUPID ARROW	306
BUNNY BAR	18
SOLID DOVE	259
MONSTER BAR	10
HOLLOW BUNNY	33398
POP AND PEBBLE	11339
SPORT BALL	12904
HOLLOW RABBIT	8028
CAR	17845
EYE BALL	17633
SOLID LIP	4319
BUNNY HEAD	3293
HOLLOW APPLE	1402
SOLID CAR	603
SANTA & SNOWMAN	3867
SQUARE	571781
SOLID SANTA & HELPER	1279
DISC	80153
SOLID ROSE	89
GOOSE EGG	157
HEART & TEDDY BEAR	58
SANTA WITH GIFT	2221
SNOWMAN AND SNOWBALL	2782
RACING CAR	12460
POKER CHIP	2347
HOLLOW FIGURE	2040
HOLLOW SPORTS EGG	1981
HOLLOW BUNNY WAFER CONE	1785
GLASSES	724
HOLLOW RACING CAR	1917
POKER CHIP & PLAYING CARD	577
SOLID FISH	4179
MASK	2344
TRANSPORTER	509
TOAD	1343
TIRE	1374
HELMET	397
PUPPY	229
CANE	156983
REINDEER HEAD	3258
CHRISTMAS LIGHT	143
CARROT PATCH	123
DINOSAUR	12221
HOLLOW MONKEY	104
HOLLOW CROSS	257
GINGERBREAD HOUSE	1160
GOLF BALL	371
KEY	297
CIGAR	169
SOLID BEAR	49
SOLID FIGURE	160
CHOO CHOO TRAIN	13
HOLLOW PIG	4
PANDA BEAR	6
ORANGE	16910
SKULL	2817
DROP	300175
SHELL	3191
TULIP	5338
CHRISTMAS TREE & SANTA FACE	1472
SEASHELL	14226
DINOSAUR EGG	1401
BEAR & HEART	152
CANNONBALL	250
CLUSTER	131626
MATZO	66
RASPBERRY	5843
CRAYON	856
SEA CREATURE	129
MOON	57
BIRD	165
SOLID STAR	490
SOLID ORNAMENT	99
HALLOWEEN FIGURE	1
WHISTLE	10076
NEST	6137
BUZZARD EGG	4256
GHOST	12200
BEAN	547323
PUMPKIN HEAD	559
SANTA BAR	1611
BUZZARD NEST	1060
CLOWN	1304
TWIST POP	1799
ELF	205
STRAWBERRY	3299
SNAKE	11667
GRAPE	52
MENORAH	37
FISH	133287
SEAHORSE	10112
POP AND NUGGET	7920
POP AND BIT	8045
PAINT ROLLER AND POWDER	3114
WREATH	8339
KITTEN	357
SOLID SKELETON	523
DONUT	6430
HOLLOW SANTA	3967
ALIEN	2089
COCONUT	389
SLICE	155025
CHOPPER	93
TURTLE	4248
CHERRY	4004
ALLIGATOR	509
COMPACT DISC	50
SLAB	128
BLOCK	10163
LUMP OF COAL	2861
EGGSHELL	349
SOLID LOTTERY TICKET	51
STOCKING	25
SOLID PERSON	872
SOLID CROSS	807
SOLID TRUCK	18
FOOTBALL HELMET	7
SEDER PLATE	333
SOLID BALLERINA	21
PANSIES	19
SOLID LAMB	15
SOLID PIZZA	11
SOLID BASEBALL MITT	3
SOLID TELEPHONE	2
FACE	4765
FLOWER	4503
CAT	9855
CHRISTMAS TREE	5205
HOLLOW DUCK	1021
EAR OF CORN	426
SOLID PUMPKIN	1276
FOOT	507
HOLLOW BEAR	113
ROCK	69902
DICE	36
TWIST	370682
LOG	8525
HOLIDAY SHAPE	3837
LIQUID	152205
TABLET	23056
CHEW	408376
MUMMIE	53
PEAK	2082
ROUND	8097
WHOLE	22965
STRIP	13508
STIX	834
LOG ROLL	10592
GELT	289
WAFER	50012
CHUNK	874
CHIP	561
REINDEER BAR	1
VINE	30204
BEARS AND HEARTS	781
RECTANGLE	357
TWISTIE	1657
KID	81600
BUTTON	25447
INCH WORM	5897
MOUNTAIN	1345
BARREL	12249
HAYSTACK	1871
ICE CUBE	502
LUMP	177
SOLID SNOWMAN	2011
BUN BAR	6880
SOLID NUTCRACKER	1671
HOLLOW SNOWMAN	1613
DINO EGG	944
KERNEL	922
PIE	1589
LIME	435
GINGERBREAD MAN	243
TRAIN	119
NUTCRACKER	528
ST NICK	2
CHAMPAGNE BOTTLE	479
WEDGE	2426
PASTE	11066
CRAWLER	34455
SLICED	10117
NECKLACE	73794
WORM	111067
STRAW	122346
RIBBON	4604
SLICE OF FRUIT	3650
GEL	10491
BOMB BALL	7208
PILLOW	29967
PEANUT	54968
LIPSTICK	11289
CREAM	9365
OCTOPUS	3739
PUFF	52669
CRIMP RIBBON	1000
BITE	35982
SNOWBALL	6657
LOZENGE	8146
BIRD EGG	21587
UFO	130
FLUFF	12041
SQUIGGLE	4116
STRING	86870
POWDER	27374
SHARK	18800
WATERMELON SLICE	10941
STACK	835
ANT	80
BELT	29805
WATCH	200
CRYSTAL	1719
CHICK RABBIT	3417
MONEY ROLL	118
LACE	1207
CIGARETTE	206
PUMPKIN FACE	2751
ROPE	101199
EGG AND BUNNY	1393
WABBIT	284
PET	154
PEACOCK EGG	1404
BURGER	3029
PAINTBRUSH	3588
ROCKET	221
GRUB	1603
MONEY	44
CHICK & RABBIT	35
CRYSTAL DROP	46
PULP	3155
NIB	29756
CHICK AND BUNNY	1117
KRABBY PATTIE	31300
SNAP	12504
TARANTULA	8480
CANE AND FIGURE	1407
BUNNY CHICK	4264
DOLLAR	9784
PIZZA	6970
HOLLOW FISH	269
ICE CREAM CONE	13934
WHEEL	1474
JEWELRY	8640
WHIP	736
SPAGHETTI	2839
STAR AND HEART	99
DINOS	1320
