YEAR,dma_code,weight,HINCP_ADJ,AGEP,RAC1P,ESR
2008,500,0.002,87683.2929,61.0,1.0,6.0
2008,500,0.002,117114.735,38.0,1.0,1.0
2008,500,0.002,73935.0414,42.0,1.0,1.0
2008,500,0.002,18331.002,83.0,1.0,6.0
2008,500,0.002,65991.6072,56.0,1.0,1.0
2008,500,0.002,23300.74032,73.0,1.0,3.0
2008,500,0.002,69352.29089999999,52.0,1.0,1.0
2008,500,0.002,82591.3479,31.0,1.0,1.0
2008,500,0.002,61001.5011,65.0,1.0,1.0
2008,500,0.002,77193.8862,61.0,1.0,1.0
2008,500,0.002,58557.3675,62.0,1.0,6.0
2008,500,0.002,21386.168999999998,72.0,1.0,6.0
2008,500,0.002,103570.16129999999,55.0,1.0,1.0
2008,500,0.002,88396.1652,37.0,1.0,1.0
2008,500,0.002,64158.507,57.0,1.0,1.0
2008,500,0.002,98783.733,35.0,1.0,1.0
2008,500,0.002,174144.519,59.0,1.0,1.0
2008,500,0.002,45827.505,52.0,1.0,1.0
2008,500,0.002,107928.86622,47.0,1.0,1.0
2008,500,0.002,23015.5914,57.0,1.0,6.0
2008,500,0.002,32690.2869,83.0,1.0,6.0
2008,500,0.002,244413.36,64.0,1.0,6.0
2008,500,0.002,88599.843,56.0,1.0,1.0
2008,500,0.002,66195.285,36.0,1.0,1.0
2008,500,0.002,27017.86017,49.0,1.0,1.0
2008,500,0.002,0.0,72.0,1.0,6.0
2008,500,0.002,9603.40827,33.0,1.0,3.0
2008,500,0.002,41346.5934,19.0,9.0,1.0
2008,500,0.002,52233.17181,48.0,1.0,1.0
2008,500,0.002,88396.1652,37.0,1.0,1.0
2008,500,0.002,22302.7191,26.0,1.0,6.0
2008,500,0.002,73324.008,56.0,1.0,1.0
2008,500,0.002,40531.8822,70.0,1.0,6.0
2008,500,0.002,175672.1025,18.0,1.0,6.0
2008,500,0.002,125465.5248,54.0,1.0,1.0
2008,500,0.002,47640.23742,20.0,1.0,2.0
2008,500,0.002,37069.359599999996,75.0,1.0,6.0
2008,500,0.002,65075.0571,46.0,1.0,3.0
2008,500,0.002,63873.35808,43.0,1.0,1.0
2008,500,0.002,146749.8549,26.0,1.0,1.0
2008,500,0.002,86563.065,35.0,1.0,1.0
2008,500,0.002,14257.446,47.0,1.0,1.0
