YEAR,dma_code,weight,hhmember,HINCP,AGEP,RAC1P
2009,500,0.01,2,81550.0,51.0,1.0
2009,500,0.01,2,29800.0,70.0,1.0
2009,500,0.01,2,32100.0,68.0,1.0
2009,500,0.01,4,60600.0,19.0,1.0
2009,500,0.01,4,124270.0,52.0,1.0
2009,500,0.01,1,11600.0,75.0,1.0
2009,500,0.01,3,63700.0,39.0,1.0
2009,500,0.01,2,5004.0,20.0,1.0
2009,500,0.01,1,41000.0,44.0,1.0
2009,500,0.01,2,41900.0,69.0,1.0
2009,500,0.01,3,52000.0,20.0,1.0
2009,500,0.01,2,107000.0,57.0,1.0
2009,500,0.01,2,20000.0,53.0,1.0
2009,500,0.01,2,91000.0,32.0,1.0
2009,500,0.01,2,75800.0,73.0,1.0
2009,500,0.01,2,106400.0,59.0,1.0
2009,500,0.01,2,81550.0,51.0,1.0
2009,500,0.01,3,109800.0,62.0,1.0
2009,500,0.01,2,73100.0,52.0,1.0
2009,500,0.01,2,12970.0,63.0,1.0
2009,500,0.01,2,237000.0,61.0,1.0
2009,500,0.01,3,41300.0,46.0,1.0
2009,500,0.01,1,54000.0,42.0,1.0
2009,500,0.01,2,136400.0,56.0,1.0
2009,500,0.01,1,16000.0,73.0,1.0
2009,500,0.01,2,309600.0,43.0,1.0
2009,500,0.01,2,41080.0,25.0,9.0
2009,500,0.01,2,117000.0,55.0,1.0
2009,500,0.01,2,47400.0,52.0,1.0
2009,500,0.01,2,91000.0,32.0,1.0
2009,500,0.01,2,35700.0,50.0,1.0
2009,500,0.01,4,111000.0,62.0,1.0
2009,500,0.01,2,40000.0,40.0,1.0
2009,500,0.01,3,65000.0,38.0,1.0
2009,500,0.01,2,67500.0,70.0,1.0
2009,500,0.01,3,105000.0,62.0,1.0
2009,500,0.01,2,48800.0,35.0,1.0
2009,500,0.01,2,72500.0,29.0,1.0
2009,500,0.01,1,28500.0,73.0,1.0
2009,500,0.01,2,85000.0,32.0,1.0
2009,500,0.01,1,85000.0,68.0,1.0
2009,500,0.01,2,118630.0,40.0,1.0
2009,500,0.01,2,380000.0,38.0,1.0
2009,500,0.01,2,316400.0,56.0,1.0
2009,500,0.01,1,6500.0,65.0,6.0
2009,500,0.01,2,75000.0,32.0,1.0
2009,500,0.01,2,95000.0,27.0,1.0
2009,500,0.01,4,140520.0,67.0,1.0
2009,500,0.01,2,90040.0,62.0,1.0
2009,500,0.01,2,16300.0,74.0,1.0
2009,500,0.01,2,176500.0,63.0,1.0
2009,500,0.01,3,107000.0,24.0,1.0
2009,500,0.01,2,60000.0,43.0,1.0
2009,500,0.01,3,35800.0,32.0,1.0
2009,500,0.01,3,231080.0,48.0,1.0
2009,500,0.01,2,77000.0,39.0,1.0
2009,500,0.01,2,62840.0,67.0,1.0
2009,500,0.01,2,145790.0,62.0,1.0
2009,500,0.01,3,118000.0,43.0,1.0
2009,500,0.01,3,152500.0,24.0,1.0
2009,500,0.01,3,109000.0,53.0,1.0
2009,500,0.01,2,29000.0,19.0,1.0
2009,500,0.01,1,48000.0,47.0,1.0
2009,500,0.01,1,10700.0,79.0,1.0
2009,500,0.01,2,76380.0,21.0,1.0
2009,500,0.01,2,38000.0,84.0,1.0
2009,500,0.01,2,57200.0,24.0,1.0
2009,500,0.01,2,59000.0,66.0,1.0
2009,500,0.01,4,85600.0,30.0,1.0
2009,500,0.01,2,60100.0,43.0,2.0
2009,500,0.01,2,54000.0,22.0,1.0
2009,500,0.01,2,55400.0,68.0,1.0
2009,500,0.01,2,78800.0,37.0,9.0
2009,500,0.01,3,151000.0,21.0,1.0
2009,500,0.01,2,36000.0,26.0,1.0
2009,500,0.01,4,53800.0,51.0,1.0
2009,500,0.01,4,172000.0,33.0,1.0
2009,500,0.01,1,62000.0,48.0,1.0
2009,500,0.01,2,38300.0,65.0,1.0
2009,500,0.01,2,61000.0,55.0,1.0
2009,500,0.01,3,67340.0,53.0,1.0
2009,500,0.01,2,52600.0,29.0,1.0
2009,500,0.01,2,38300.0,67.0,1.0
2009,500,0.01,2,17600.0,45.0,1.0
2009,500,0.01,1,62810.0,46.0,1.0
2009,500,0.01,2,88000.0,47.0,1.0
2009,500,0.01,1,20000.0,60.0,1.0
2009,500,0.01,3,95570.0,62.0,1.0
2009,500,0.01,1,37010.0,69.0,1.0
2009,500,0.01,2,54600.0,31.0,1.0
2009,500,0.01,2,32800.0,35.0,1.0
2009,500,0.01,2,43200.0,44.0,1.0
2009,500,0.01,2,13500.0,42.0,1.0
2009,500,0.01,2,100000.0,34.0,1.0
2009,500,0.01,2,63220.0,68.0,1.0
2009,500,0.01,1,41200.0,49.0,1.0
2009,500,0.01,2,54000.0,22.0,1.0
2009,500,0.01,2,69000.0,46.0,1.0
2009,500,0.01,1,30200.0,69.0,1.0
2009,500,0.01,3,188500.0,19.0,1.0
2009,501,0.01,2,43000.0,42.0,2.0
2009,501,0.01,3,307100.0,56.0,1.0
2009,501,0.01,3,166000.0,61.0,1.0
2009,501,0.01,2,124020.0,46.0,6.0
2009,501,0.01,2,205000.0,35.0,1.0
2009,501,0.01,5,109400.0,26.0,1.0
2009,501,0.01,1,8200.0,53.0,2.0
2009,501,0.01,6,147800.0,18.0,1.0
2009,501,0.01,2,113100.0,36.0,1.0
2009,501,0.01,2,12800.0,78.0,1.0
2009,501,0.01,3,139000.0,51.0,2.0
2009,501,0.01,2,136200.0,47.0,1.0
2009,501,0.01,1,0.0,35.0,1.0
2009,501,0.01,2,237200.0,62.0,1.0
2009,501,0.01,2,451000.0,50.0,1.0
2009,501,0.01,2,122000.0,40.0,1.0
2009,501,0.01,2,31000.0,55.0,2.0
2009,501,0.01,3,95080.0,36.0,1.0
2009,501,0.01,2,21700.0,59.0,1.0
2009,501,0.01,2,110000.0,28.0,1.0
2009,501,0.01,2,31000.0,52.0,1.0
2009,501,0.01,3,294000.0,65.0,9.0
2009,501,0.01,1,18900.0,70.0,1.0
2009,501,0.01,1,60000.0,44.0,1.0
2009,501,0.01,3,145900.0,62.0,1.0
2009,501,0.01,2,21700.0,36.0,2.0
2009,501,0.01,1,22100.0,87.0,1.0
2009,501,0.01,3,37940.0,45.0,1.0
2009,501,0.01,2,158000.0,56.0,1.0
2009,501,0.01,2,47000.0,53.0,1.0
2009,501,0.01,2,171900.0,37.0,1.0
2009,501,0.01,2,200000.0,64.0,1.0
2009,501,0.01,5,126000.0,45.0,1.0
2009,501,0.01,3,114800.0,63.0,1.0
2009,501,0.01,7,256240.0,28.0,1.0
2009,501,0.01,4,202300.0,76.0,1.0
2009,501,0.01,3,624500.0,27.0,1.0
2009,501,0.01,6,83100.0,52.0,1.0
2009,501,0.01,1,16800.0,36.0,2.0
2009,501,0.01,1,21600.0,87.0,1.0
2009,501,0.01,3,113200.0,76.0,1.0
2009,501,0.01,3,80000.0,33.0,1.0
2009,501,0.01,1,29900.0,66.0,2.0
2009,501,0.01,4,107600.0,60.0,2.0
2009,501,0.01,2,80000.0,58.0,2.0
2009,501,0.01,2,46600.0,32.0,1.0
2009,501,0.01,2,48000.0,27.0,2.0
2009,501,0.01,2,75880.0,26.0,1.0
2009,501,0.01,2,149700.0,54.0,1.0
2009,501,0.01,1,8500.0,88.0,1.0
2009,501,0.01,1,0.0,84.0,1.0
2009,501,0.01,2,200000.0,44.0,1.0
2009,501,0.01,2,91600.0,93.0,1.0
2009,501,0.01,3,57700.0,20.0,1.0
2009,501,0.01,1,19200.0,68.0,2.0
2009,501,0.01,3,72000.0,46.0,1.0
2009,501,0.01,2,53000.0,40.0,1.0
2009,501,0.01,2,80000.0,32.0,1.0
2009,501,0.01,2,115000.0,44.0,1.0
2009,501,0.01,1,9100.0,56.0,2.0
2009,501,0.01,3,175000.0,56.0,9.0
2009,501,0.01,1,22000.0,79.0,2.0
2009,501,0.01,4,195200.0,28.0,1.0
2009,501,0.01,1,88000.0,52.0,2.0
2009,501,0.01,2,26800.0,58.0,1.0
2009,501,0.01,2,123000.0,61.0,1.0
2009,501,0.01,2,53700.0,74.0,2.0
2009,501,0.01,2,149800.0,77.0,1.0
2009,501,0.01,2,10060.0,50.0,2.0
2009,501,0.01,4,20000.0,44.0,1.0
2009,501,0.01,5,87800.0,77.0,1.0
2009,501,0.01,4,82100.0,59.0,2.0
2009,501,0.01,2,95000.0,32.0,6.0
2009,501,0.01,1,49000.0,54.0,2.0
2009,501,0.01,4,56400.0,45.0,1.0
2009,501,0.01,3,177000.0,52.0,1.0
2009,501,0.01,2,28800.0,69.0,1.0
2009,501,0.01,3,133370.0,28.0,2.0
2009,501,0.01,2,153600.0,39.0,1.0
2009,501,0.01,3,66600.0,19.0,1.0
2009,501,0.01,1,85690.0,54.0,1.0
2009,501,0.01,2,155000.0,56.0,1.0
2009,501,0.01,3,32800.0,21.0,1.0
2009,501,0.01,2,16000.0,48.0,1.0
2009,501,0.01,2,1138000.0,42.0,1.0
2009,501,0.01,1,14700.0,34.0,8.0
2009,501,0.01,1,18500.0,72.0,9.0
2009,501,0.01,2,135000.0,42.0,1.0
2009,501,0.01,2,110000.0,35.0,1.0
2009,501,0.01,3,73200.0,40.0,1.0
2009,501,0.01,3,57900.0,26.0,1.0
2009,501,0.01,1,34000.0,30.0,8.0
2009,501,0.01,1,41500.0,81.0,1.0
2009,501,0.01,1,13900.0,80.0,1.0
2009,501,0.01,1,50000.0,84.0,1.0
2009,501,0.01,2,100000.0,40.0,1.0
2009,501,0.01,3,78700.0,50.0,1.0
2009,501,0.01,2,53100.0,41.0,6.0
2009,501,0.01,2,155000.0,42.0,1.0
2009,501,0.01,2,80000.0,59.0,1.0
2009,502,0.01,2,106200.0,49.0,1.0
2009,502,0.01,4,96370.0,62.0,1.0
2009,502,0.01,2,85700.0,65.0,1.0
2009,502,0.01,3,100410.0,80.0,1.0
2009,502,0.01,2,55600.0,67.0,1.0
2009,502,0.01,3,61200.0,23.0,1.0
2009,502,0.01,7,212200.0,27.0,1.0
2009,502,0.01,2,93800.0,46.0,1.0
2009,502,0.01,2,63500.0,46.0,1.0
2009,502,0.01,2,69000.0,40.0,1.0
2009,502,0.01,2,70000.0,48.0,1.0
2009,502,0.01,2,87000.0,60.0,1.0
2009,502,0.01,4,155600.0,51.0,1.0
2009,502,0.01,2,35700.0,31.0,1.0
