year,dma_code,B01001_001E,B01001_002E_wt,B19013_001E_wt
2009,500,983251,75254537537,48976586812
2009,501,20841223,12793758219118,1385344163408
2009,502,342726,22076642171,15220283300
2009,503,625584,23688066295,25412674524
2009,504,7881218,2554919016123,477454423651
2009,505,4994745,3038251015441,268453841772
2009,506,6291612,2398144550264,429426480185
2009,507,814304,48091832430,35712628566
2009,508,2820706,855798199598,128031143418
2009,509,706053,65727942593,32978223690
2009,510,3875971,1141815610994,184245162293
2009,511,5828743,1650592227174,477619960434
2009,512,2857815,702011244187,191346129506
2009,513,1186481,127697839947,51307354022
2009,514,1595803,442222960053,72372186748
2009,515,2310998,476734353139,122185681514
2009,516,409556,43060712511,17219551666
2009,517,2802209,489516328017,135037197280
2009,518,1685950,204750089035,73185516468
2009,519,765767,81460443909,35982083971
2009,520,659334,37222328800,28055493520
2009,521,1602591,361751531486,89498369507
2009,522,502308,28498114793,19468700938
2009,523,824633,29790578202,41996301573
2009,524,6218968,1449125976572,352343284872
2009,525,410943,8770324597,14641067249
2009,526,355554,30458723060,15857098531
2009,527,2789802,474291772156,139846593044
2009,528,4290200,4449157678932,200645703832
2009,529,1614980,267048581737,75009451593
2009,530,700565,42581227605,27821808449
2009,531,765602,28200016230,27302033011
2009,532,1361976,108120546204,73136193312
2009,533,2601644,797453969685,167382260121
2009,534,3526779,1033548809081,169920003248
2009,535,2322898,669550125747,117267521776
2009,536,680202,62572582933,27799992022
2009,537,340963,14847284808,14042900606
2009,538,1015172,271333993225,52318134861
2009,539,4214087,1471955341108,193426258251
2009,540,611624,10476731075,25604351594
2009,541,1237485,57072836314,47798301745
2009,542,1254046,173056581370,59460441721
2009,543,695157,119600817444,34930720197
2009,544,1303811,137682895142,77965676013
2009,545,735329,37413683721,28600752137
2009,546,1004600,103796283519,44592361979
2009,547,1128483,127640304770,52653956385
2009,548,1835123,837556942753,94859603334
2009,549,253542,13551455573,10775345500
2009,550,424045,25173892234,18258407030
2009,551,663153,59985833627,32363203588
2009,552,71974,2532477164,2550686586
2009,553,210333,4074483424,8367286101
2009,554,314933,7125464981,11739958680
2009,555,908267,118901202456,44031457878
2009,556,1094395,92520659698,67982044360
2009,557,1299695,111836789806,52536354549
2009,558,104946,5456562324,4558119618
2009,559,338739,8171499000,11282159066
2009,560,2749571,475127726465,136843583102
2009,561,1679886,390933406375,84352652169
2009,563,1977748,285124450267,94710006614
2009,564,1144944,38824089705,40940889058
2009,565,244559,9454088637,10346330444
2009,566,1887304,290905476892,102255375054
2009,567,2093794,196804843288,87190252755
2009,569,152138,5275786454,7544074749
2009,570,704976,50682956678,25999196749
2009,571,1117018,226053071613,56827030650
2009,573,798582,20277528781,35268841806
2009,574,753721,39049158929,30423964148
2009,575,919856,69260390704,37918323527
2009,576,384223,22812228468,19190704881
2009,577,1485966,114245111134,65102993503
2009,581,302891,8092123611,12148968102
2009,582,162527,13534110871,6800454734
2009,583,41079,494112840,1475398452
2009,584,149489,4674787299,9223558016
2009,588,891809,72794999376,40790452402
2009,592,292345,28797857505,11228926520
2009,596,85099,3476634546,3368388618
2009,597,155477,5483492219,6223774044
2009,598,259365,4999934508,9130636343
2009,600,552438,54663108338,22204632624
2009,602,9618741,14662228398801,583885419664
2009,603,346895,10131710008,12845785935
2009,604,402535,16151185024,18047669616
2009,605,355331,18574848790,15548024323
2009,606,246318,7219828939,9717241023
2009,609,3035511,692993056394,159067291104
2009,610,484859,47665876513,23818716568
2009,611,332422,12324349526,17622681022
2009,612,968700,48477100658,36729531720
2009,613,4385426,970472074538,266726918312
2009,616,2295274,422787739633,124671201635
2009,617,2289855,573099159238,124886951647
2009,618,5875605,7964170450590,318881416662
2009,619,897660,45681703606,34953100264
2009,622,1632294,192028076341,74707632166
2009,623,6766714,4829734129331,373854159177
2009,624,350951,7627111290,16008717120
2009,625,868614,81732403760,35596558988
2009,626,86206,3604531478,3953320954
2009,627,357839,16422730586,14995409686
2009,628,452224,14443906053,15689875694
2009,630,1746575,265957919759,76913917833
2009,631,96078,1095896907,3493745208
2009,632,854427,16960381116,31249564013
2009,633,365433,16906035202,16494546230
2009,634,446535,15898968435,18630860779
2009,635,1687940,565982122409,95368920631
2009,636,1167168,313676434345,34416547926
2009,637,763259,42385300273,37296556444
2009,638,105307,4002234200,4540664446
2009,639,242504,6784953795,8958970682
2009,640,1745425,424732038033,73122882884
2009,641,2234174,1245371947314,103742162943
2009,642,603756,32721736997,23862791766
2009,643,252961,17675264167,10826530726
2009,644,221787,10449461971,8426559250
2009,647,194917,3526908064,4975842665
2009,648,909316,50354112518,40724883389
2009,649,674664,25649006279,30094557886
2009,650,1608493,284512721152,70056445860
2009,651,410076,35346059640,16245640632
