,brand_descr
0,AU'SOME CANDIES-NBL B
1,WRIGLEY'S WINTERFRESH C
2,WRIGLEY'S FREEDENT B
3,WRIGLEY'S EXTRA BS
4,MENTOS PURE WHITE CS
5,STICK*FREE CS
6,HILCO CORP-NBL B
7,KID'S BRANDS BUBBLE RUBBLE B
8,CANEL'S C
9,SMARTIES B
10,DUBBLE BUBBLE DUBBLES B
11,SPOOKY EYES B
12,MAYFAIR B
13,PREMIER VALUE B
14,WRIGLEY'S
15,FRUIT STRIPE C
16,BUBBALOHA! B
17,MOJAVE B
18,SHARI DUBBLE BUBBLE B
19,DULCES VERO C
20,WRIGLEY'S ECLIPSE FUSION CS
21,ARM & HAMMER CS
22,CRANBERRY CS
23,ICE BREAKERS ICE CUBES WHIT CS
24,TOPPS B
25,ADAMS BUBBLICIOUS BURSTS B
26,BLOOD BALLS B
27,ADAMS BUBBLICIOUS INK'D B
28,FRUIT STRIPE CS
29,ADAMS CLORETS C
30,SWEET SPOT B
31,CVP B
32,FORD GUM&MACHINE CO INC-NBL B
33,C HOWARD C
34,ADAMS CHICLETS C
35,ELITE MUST CS
36,DUBBLE BUBBLE TONGUE SPLSHRS B
37,SCREECHERS B
38,FORD GUM&MACHINE CO INC-NBL CS
39,ICE BREAKERS ICE CUBES CS
40,PUMPKINHEADS B
41,NUTTY GUYS.COM B
42,WRIGLEY'S DOUBLEMINT C
43,ZUM B
44,ADAMS BUBBALOO B
45,WRIGLEY'S JUICY FRUIT CS
46,ADAMS DENTYNE TANGO CS
47,FLIX BUBBLE TOONS BS
48,WRIGLEY'S HUBBA BUBBA BBL TP B
49,OLD FASHIONED CANDY SHOP B
50,EGG STREME B
51,DUBBLE BUBBLE C
52,WRIGLEY'S HUBBA BUBBA BBL JG B
53,CRY BABY B
54,MAXIM MARKETING CORPORTN-NBL B
55,THE YARDSTICK B
56,ALTOIDS CS
57,RAIN-BLO B
58,DUBBLE BUBBLE BS
59,ELITE C
60,ADAMS DENTYNE BLAST CS
61,ADAMS TRIDENT XTRA CARE CS
62,BUBBLE KING B
63,JUMBLO B
64,EILLIEN'S B
65,SUPER BUBBLE B
66,JB GUM B
67,EL GUAPO CANEL'S C
68,WRIGLEY'S 5 CS
69,DUBBLE BUBBLE PAINTERZ B
70,SWEETHEARTS
71,MENTOS PURE FRESH CS
72,ICE BREAKERS UNLEASHED CS
73,WRIGLEY'S JUICY FRUIT SOURS C
74,STARLINE SWEETS B
75,WRIGLEY'S ORBIT WHITE CS
76,DUBBLE BUBBLE EGG HUNT FUN B
77,ICE BREAKERS C
78,ICE BREAKERS LIFT CS
79,MOJAVE C
