PIECE	2101125
STICK	887890
	179792
BALL	180662
TAPE	83076
CUBE	118157
EGG	35204
SHREDDED	29644
ROLL	16108
PELLET	10883
CHUNK	10092
NUGGET	14995
ROCK	11357
ASSORTED	10112
GUM PIECES	2787
GUM	5705
DROP	6999
MULTIPLE FORM	2677
COTTON CANDY	3555
CHALK	2368
EYE BALL	3367
HEART	2483
CANE	2731
COIN	1053
CHICK EGG	2417
PUMPKIN HEAD	751
HOT DOG	3682
CIGAR	705
TUBE	125
ROPE	227
PUMPKIN FACE	150
CRAYON	225
STAR	391
CARROT	235
BLOCK	18
FOOTBALL	3
CIGARETTE	32
PIECE & POWDER	1
BAT	1514
BAND AID STRIP	471
DISK	714
BASEBALL	23
POD	1
BOLOGNA SLICE	2748
BIT	275
BOOK PAGE	1
CHIP	793
DINOSAUR EGG	10
