REGULAR	434037
SPEARMINT	370051
ASSORTED	242368
PEPPERMINT	280906
	187025
CINNAMON	89027
WINTER FRESH	88931
STRAWBERRY	50159
ORIGINAL	80539
POLAR ICE	65739
WINTERGREEN	45758
JUICY FRUIT	48034
DOUBLEMINT	48377
BUBBLEMINT	51638
COOL RUSH	24614
WINTERMINT	33427
SPICY CINNAMON	31404
WINTERFROST	34919
FRUIT	32340
COTTON CANDY	17519
SOUR APPLE	16017
BLUE RASPBERRY	10179
VANILLA CHILL	15737
CINNAMON TINGLE	21681
COOL MINT	24593
SOUR CHERRY	8296
MIXED BERRY	9055
TROPICAL TWIST	27205
ARCTIC CHILL	38490
CITRUSMINT	21047
WATERMELON	25378
SWEET MINT	21434
CINNAMINT	20060
COOL GREEN APPLE	14502
COOL WATERMELON	27347
COOL FROST	13071
STRAWBERRY FUSION	17801
WILD WINTER	9284
WATERMELON TWIST	25228
WILDBERRY FROST	7427
MIDNIGHT COOL	8314
STRAPPLEBERRY	6677
GRAPEMELON	6250
WINTERBLUE	19840
TROPIKIWI KICK	6338
CRYSTAL FROST FRESHMINT	5959
STRAWBERRY WATERMELON	17599
ASSORTED FRUIT	7645
LEMON ICE	7770
LEBRONS LIGHTNING LEMONADE	7056
VARIETY	10504
CHERRY LEMONADE	10428
CLASSIC	10387
GREEN APPLE FUSION	14390
BUBBLE GUM	27186
CHERRY CHILL	4900
ICY MINT	9416
SOUR DOUBLE BERRY	9915
AWESOME ORIGINAL	12060
LEMON LIME	12968
CRYSTAL MINT	14160
POWER PEPPERMINT	9238
HOT CINNAMON	4524
CINNAMON SPICE	5393
WATERMELON WAVE	11096
XTREME FRUIT	6908
TRIPLE TREAT	9360
CINNAMON INFERNO	7118
AVALANCHE MINT	4969
ASSORTED SOUR	9402
SOUR BLUE RASPBERRY	4726
BERRY SPLASH	3123
FRESHMINT	3546
WINTERGREEN FUSION	2658
FRESH CHARGE	3355
BERRY	2818
SOUR CHERRY STORM	7846
MINT	2679
CITRUS SPLASH	2288
PINA COLADA	2895
CITRUS SAMBA	2155
SWINGIN SOUR APPLE	7206
STRAWBERRY SPLASH	5375
GRAPE BERRY	5091
CINNAMON KICK	5285
LEMONADE	2000
STRAWBERRY BREEZE	1680
WILD STRAWBERRY	2187
BUBBLE BREEZE	3077
SOUR	4391
DRAGON FRUIT FREEZE	1411
SOUR APPLE BERRY	7766
RED	1343
VERY BERRY	1705
BLUE	1319
MINT SPLASH	2080
MINTENSITY	1635
OUTRAGEOUS ORIGINAL	10412
PINK	1335
CINNAFUSION	1532
COOL CHARGE	1549
HOLIDAY STRIPE	1689
ORIGINAL/CHERRY	1950
TUTTI FRUTTI	2628
BLACK RASPBERRY	1534
CARNIVAL COTTON CANDY	2089
TROPICAL FRUIT	2179
WINTERACTIVE	1201
GUSHING GRAPE	2213
GRAPE	8383
TANGERINE	1319
PEPPERMINT BERRY	9192
SPEARMINT MELON	9489
WATERMELON WATERSLIDE	769
STRAWBERRY SURGE	727
THUNDERIN	5396
TART CHERRY	735
EXTREME SOUR	1647
SOUR WATERMELON	1247
DOUBLEMINT KONA CREME	2276
SPIKED SPEARMINT	8486
SWEET PEPPERMINT	15775
APPLE	14400
CANDY CANE	1421
COOL COLADA	23327
SAVAGE SOUR APPLE	1464
FRUIT PUNCH	465
ASSORTED EXTRA SOUR	7443
WATERMELON PUNCH	778
FRUIT FIESTA	560
HOT IMPERIAL CINNAMON	413
BLUE RAZZBERRY	364
SOUR FRUIT	1963
ORANGE CRUSH	327
BLUE BLOWOUT	1112
TWISTED TORNADO	739
MANGO	529
OUTTA HERE ORIGINAL	926
CLOVE	1610
SNAPPY STRAWBERRY	892
WILD PITCH WATERMELON	1581
RASPBERRY MINT	14560
MINT MOJITO	15103
SOUR GREEN APPLE	3407
KIDS FRUIT	771
GOURMET FRUIT COCKTAIL	357
SLAMMIN STRAWBERRY	526
TROPICAL	2684
ORANGE	302
CHOCOLATE	7102
VERY CHERRY	85
GONZO GRAPE	456
ASSORTED TROPICAL	851
TEABERRY	382
PARADISE PUNCH	392
BALLISTIC BERRY	115
ORANGE FRUIT PUNCH	1547
BERRY BLAST	299
COOL BUBBLE	7884
YELLOW FRUIT	348
LICORICE	170
YELLIN MELONS	43
EXTRA SOUR	32
MANGO PEACH	1935
ICY FRESH	21
ALPINE MINT	45
NATURAL WINTERGREEN	97
FRUITY	28
FRESH FRUIT	152
ISLAND SQUEEZE	22
MEGA SOUR	126
NATURAL CINNAMON	31
ASSORTED COTTON CANDY	371
GLACIER CHILL	835
CINNAMON FRESH	14
ICE COOL MINT	4
SOUR APPLE & SOUR STRAWBERRY	4
STRAWBERRY KIWI	3
