,store_code_uc,upc,units,prmult,price,feature,display,year,month,dma_code,sales,module,upc_ver_uc,brand_code_uc,brand_descr,multi,size1_units,size1_amount,conversion,volume,prices,total_sales,market_size,shares
0,1713153,2150000064,41,1.0,1.9900000000000007,0.0,0.0,2006,1,500,89.15528154311649,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,4.649318,19.175991305201425,778.073516641453,108.181692,0.0429769392033543
1,5712924,2150000064,104,1.0,2.8677777777777793,0.0,0.0,2006,1,501,330.5050429652045,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,11.793392,28.02459571980686,5973.207173222402,79.69044450000001,0.1479900391319815
2,2923326,2150000064,9,1.0,2.49,0.0,0.0,2006,1,504,24.487925718608174,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,1.020582,23.99407957283998,3480.8805111951633,116.34634799999998,0.008771929824561406
3,2673819,2150000064,2,1.0,2.29,0.0,0.0,2006,1,505,5.004672012102875,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.226796,22.06684426578456,602.9099962178525,68.46404249999999,0.0033126293995859217
4,441285,2150000064,80,1.0,1.989999999999998,0.0,0.0,2006,1,506,173.96152496217857,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,9.07184,19.175991305201435,5249.857231770033,429.2397795,0.021134667459216695
5,5613849,2150000064,19,1.0,3.1899999999999995,0.0,0.0,2006,1,510,66.22994992435704,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,2.154562,30.739403147533952,1001.0546019667161,80.285784,0.02683615819209039
6,4766906,2150000064,45,1.0,2.3448387096774193,0.0,0.0,2006,1,511,115.44620045385783,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,5.10291,22.62360113226724,3810.4567394856335,169.1614665,0.030165912518853696
7,4939250,2150000064,6,1.0,2.226666666666667,,,2006,1,512,14.598781240544632,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.680388,21.45655308521701,1569.4017650529513,75.77821349999999,0.008978675645342313
8,6879853,2150000064,3,1.0,2.89,0.0,0.0,2006,1,520,9.473909682299547,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.340194,27.848550186950817,465.06297125567346,47.7122085,0.0071301247771836
9,4325879,2150000064,1,1.0,2.89,,,2006,1,522,3.1579698940998493,1182,1,586519.0,LAWRY'S,1.0,OZ,4.0,0.0283495,0.113398,27.84855018695082,177.19598547655067,19.391058,0.005847953216374269
