,upc,dma_code,year,month
0,1380014660,500.0,2012,5
728,1380014660,813.0,2012,5
1456,1380014660,622.0,2012,5
2184,1380014660,510.0,2012,5
2912,1380014660,825.0,2012,5
3640,1380014660,642.0,2012,5
4368,1380014660,517.0,2012,5
5096,1380014660,862.0,2012,5
5824,1380014660,698.0,2012,5
6552,1380014660,524.0,2012,5
7280,1380014660,503.0,2012,5
8008,1380014660,722.0,2012,5
8736,1380014660,533.0,2012,5
9464,1380014660,617.0,2012,5
10192,1380014660,752.0,2012,5
10920,1380014660,543.0,2012,5
11648,1380014660,757.0,2012,5
12376,1380014660,762.0,2012,5
13104,1380014660,555.0,2012,5
13832,1380014660,724.0,2012,5
14560,1380014660,771.0,2012,5
15288,1380014660,566.0,2012,5
16016,1380014660,758.0,2012,5
16744,1380014660,800.0,2012,5
17472,1380014660,522.0,2012,5
18200,1380014660,559.0,2012,5
18928,1380014660,807.0,2012,5
19656,1380014660,602.0,2012,5
20384,1380014660,501.0,2012,5
21112,1380014660,819.0,2012,5
21840,1380014660,623.0,2012,5
22568,1380014660,511.0,2012,5
23296,1380014660,828.0,2012,5
24024,1380014660,652.0,2012,5
24752,1380014660,518.0,2012,5
25480,1380014660,866.0,2012,5
26208,1380014660,710.0,2012,5
26936,1380014660,526.0,2012,5
27664,1380014660,507.0,2012,5
28392,1380014660,740.0,2012,5
29120,1380014660,534.0,2012,5
29848,1380014660,658.0,2012,5
30576,1380014660,753.0,2012,5
31304,1380014660,544.0,2012,5
32032,1380014660,770.0,2012,5
32760,1380014660,764.0,2012,5
33488,1380014660,556.0,2012,5
34216,1380014660,611.0,2012,5
34944,1380014660,773.0,2012,5
35672,1380014660,571.0,2012,5
36400,1380014660,531.0,2012,5
37128,1380014660,801.0,2012,5
37856,1380014660,525.0,2012,5
38584,1380014660,573.0,2012,5
39312,1380014660,810.0,2012,5
40040,1380014660,606.0,2012,5
40768,1380014660,504.0,2012,5
41496,1380014660,820.0,2012,5
42224,1380014660,630.0,2012,5
42952,1380014660,512.0,2012,5
43680,1380014660,839.0,2012,5
44408,1380014660,656.0,2012,5
45136,1380014660,521.0,2012,5
45864,1380014660,868.0,2012,5
46592,1380014660,711.0,2012,5
47320,1380014660,528.0,2012,5
48048,1380014660,564.0,2012,5
48776,1380014660,746.0,2012,5
49504,1380014660,538.0,2012,5
50232,1380014660,705.0,2012,5
50960,1380014660,754.0,2012,5
51688,1380014660,548.0,2012,5
52416,1380014660,676.0,2012,5
53144,1380014660,766.0,2012,5
53872,1380014660,560.0,2012,5
54600,1380014660,509.0,2012,5
55328,1380014660,789.0,2012,5
56056,1380014660,576.0,2012,5
56784,1380014660,557.0,2012,5
57512,1380014660,802.0,2012,5
58240,1380014660,530.0,2012,5
58968,1380014660,537.0,2012,5
59696,1380014660,811.0,2012,5
60424,1380014660,618.0,2012,5
61152,1380014660,506.0,2012,5
61880,1380014660,821.0,2012,5
62608,1380014660,635.0,2012,5
63336,1380014660,514.0,2012,5
64064,1380014660,855.0,2012,5
64792,1380014660,686.0,2012,5
65520,1380014660,523.0,2012,5
66248,1380014660,881.0,2012,5
66976,1380014660,716.0,2012,5
67704,1380014660,532.0,2012,5
68432,1380014660,613.0,2012,5
69160,1380014660,751.0,2012,5
69888,1380014660,539.0,2012,5
70616,1380014660,755.0,2012,5
71344,1380014660,759.0,2012,5
72072,1380014660,549.0,2012,5
72800,1380014660,737.0,2012,5
73528,1380014660,767.0,2012,5
74256,1380014660,561.0,2012,5
74984,1380014660,669.0,2012,5
75712,1380014660,790.0,2012,5
76440,1380014660,577.0,2012,5
77168,1380014660,541.0,2012,5
77896,1380014660,803.0,2012,5
78624,1380014660,592.0,2012,5
1,1380014660,501.0,2012,6
729,1380014660,819.0,2012,6
1457,1380014660,623.0,2012,6
2185,1380014660,511.0,2012,6
2913,1380014660,828.0,2012,6
3641,1380014660,652.0,2012,6
4369,1380014660,518.0,2012,6
5097,1380014660,866.0,2012,6
5825,1380014660,710.0,2012,6
6553,1380014660,526.0,2012,6
7281,1380014660,507.0,2012,6
8009,1380014660,740.0,2012,6
8737,1380014660,534.0,2012,6
9465,1380014660,658.0,2012,6
10193,1380014660,753.0,2012,6
10921,1380014660,544.0,2012,6
11649,1380014660,770.0,2012,6
12377,1380014660,764.0,2012,6
13105,1380014660,556.0,2012,6
13833,1380014660,611.0,2012,6
14561,1380014660,773.0,2012,6
15289,1380014660,571.0,2012,6
16017,1380014660,531.0,2012,6
16745,1380014660,801.0,2012,6
17473,1380014660,525.0,2012,6
18201,1380014660,573.0,2012,6
18929,1380014660,810.0,2012,6
19657,1380014660,606.0,2012,6
20385,1380014660,504.0,2012,6
21113,1380014660,820.0,2012,6
21841,1380014660,630.0,2012,6
22569,1380014660,512.0,2012,6
23297,1380014660,839.0,2012,6
24025,1380014660,656.0,2012,6
24753,1380014660,521.0,2012,6
25481,1380014660,868.0,2012,6
26209,1380014660,711.0,2012,6
26937,1380014660,528.0,2012,6
27665,1380014660,564.0,2012,6
28393,1380014660,746.0,2012,6
29121,1380014660,538.0,2012,6
29849,1380014660,705.0,2012,6
30577,1380014660,754.0,2012,6
31305,1380014660,548.0,2012,6
32033,1380014660,676.0,2012,6
32761,1380014660,766.0,2012,6
33489,1380014660,560.0,2012,6
34217,1380014660,509.0,2012,6
34945,1380014660,789.0,2012,6
35673,1380014660,576.0,2012,6
36401,1380014660,557.0,2012,6
37129,1380014660,802.0,2012,6
37857,1380014660,530.0,2012,6
38585,1380014660,537.0,2012,6
39313,1380014660,811.0,2012,6
40041,1380014660,618.0,2012,6
40769,1380014660,506.0,2012,6
41497,1380014660,821.0,2012,6
42225,1380014660,635.0,2012,6
42953,1380014660,514.0,2012,6
43681,1380014660,855.0,2012,6
44409,1380014660,686.0,2012,6
45137,1380014660,523.0,2012,6
45865,1380014660,881.0,2012,6
46593,1380014660,716.0,2012,6
47321,1380014660,532.0,2012,6
48049,1380014660,613.0,2012,6
48777,1380014660,751.0,2012,6
49505,1380014660,539.0,2012,6
50233,1380014660,755.0,2012,6
50961,1380014660,759.0,2012,6
