store_code_uc,year,parent_code,retailer_code,channel_code,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,dma_code,dma_descr
273,2012,4901,4901,D,199.0,10.0,DE,1.0,KENT,504.0,PHILADELPHIA PA
666,2012,5851,5851,M,501.0,19.0,IA,127.0,MARSHALL,679.0,DES MOINES-AMES IA
884,2012,5851,5851,M,606.0,17.0,IL,31.0,COOK,602.0,CHICAGO IL
1069,2012,5851,5851,M,461.0,18.0,IN,97.0,MARION,527.0,INDIANAPOLIS IN
1086,2012,4904,4904,D,786.0,48.0,TX,209.0,HAYS,635.0,AUSTIN TX
1123,2012,89,89,F,441.0,39.0,OH,35.0,CUYAHOGA,510.0,CLEVELAND OH
1852,2012,89,89,F,165.0,42.0,PA,49.0,ERIE,516.0,ERIE PA
1875,2012,5851,5851,M,29.0,44.0,RI,7.0,PROVIDENCE,521.0,PROVIDENCE-NEW BEDFORD RI-MA
2324,2012,6901,6901,M,606.0,17.0,IL,31.0,COOK,602.0,CHICAGO IL
2681,2012,5851,5851,M,442.0,39.0,OH,153.0,SUMMIT,510.0,CLEVELAND OH
3456,2012,4904,4904,D,146.0,36.0,NY,55.0,MONROE,538.0,ROCHESTER NY
3487,2012,5851,5851,M,154.0,42.0,PA,51.0,FAYETTE,508.0,PITTSBURGH PA
4293,2012,5851,5851,M,126.0,36.0,NY,27.0,DUTCHESS,501.0,NEW YORK NY
4696,2012,5851,5851,M,233.0,51.0,VA,550.0,CHESAPEAKE,544.0,NORFOLK-PORTSMOUTH-NEWPORT NEWS VA
4809,2012,97,98,F,100.0,36.0,NY,61.0,NEW YORK,501.0,NEW YORK NY
4954,2012,4904,4926,D,100.0,36.0,NY,61.0,NEW YORK,501.0,NEW YORK NY
5502,2012,5851,5851,M,129.0,36.0,NY,33.0,FRANKLIN,523.0,BURLINGTON-PLATTSBURGH VT-NY
5593,2012,61,61,F,600.0,17.0,IL,31.0,COOK,602.0,CHICAGO IL
5810,2012,4904,4904,D,782.0,48.0,TX,29.0,BEXAR,641.0,SAN ANTONIO TX
5905,2012,5851,5851,M,453.0,39.0,OH,109.0,MIAMI,542.0,DAYTON OH
6308,2012,5851,5851,M,631.0,29.0,MO,510.0,ST LOUIS CTY,609.0,ST LOUIS MO
6566,2012,4904,4904,D,100.0,36.0,NY,61.0,NEW YORK,501.0,NEW YORK NY
7757,2012,9699,9699,L,782.0,48.0,TX,29.0,BEXAR,641.0,SAN ANTONIO TX
7920,2012,5851,5851,M,443.0,39.0,OH,153.0,SUMMIT,510.0,CLEVELAND OH
8015,2012,5917,5917,C,503.0,19.0,IA,153.0,POLK,679.0,DES MOINES-AMES IA
8323,2012,5851,5851,M,488.0,26.0,MI,67.0,IONIA,563.0,GRAND RAPIDS-KALAMAZOO-BATTLE CREEK MI
8563,2012,9699,9699,L,782.0,48.0,TX,29.0,BEXAR,641.0,SAN ANTONIO TX
8667,2012,130,130,F,483.0,26.0,MI,99.0,MACOMB,505.0,DETROIT MI
8726,2012,5851,5851,M,488.0,26.0,MI,73.0,ISABELLA,513.0,FLINT-SAGINAW-BAY CITY MI
8772,2012,6901,6921,M,301.0,13.0,GA,67.0,COBB,524.0,ATLANTA GA
8839,2012,128,128,F,857.0,4.0,AZ,19.0,PIMA,789.0,TUCSON (SIERRA VISTA) AZ
9020,2012,61,61,F,604.0,17.0,IL,31.0,COOK,602.0,CHICAGO IL
9053,2012,4901,4901,D,421.0,21.0,KY,9.0,BARREN,736.0,BOWLING GREEN KY
9146,2012,4904,4904,D,797.0,48.0,TX,135.0,ECTOR,633.0,ODESSA-MIDLAND TX
9369,2012,9699,9699,L,782.0,48.0,TX,29.0,BEXAR,641.0,SAN ANTONIO TX
9423,2012,6,6,F,604.0,17.0,IL,31.0,COOK,602.0,CHICAGO IL
9772,2012,9699,9699,L,782.0,48.0,TX,29.0,BEXAR,641.0,SAN ANTONIO TX
10175,2012,9699,9699,L,782.0,48.0,TX,29.0,BEXAR,641.0,SAN ANTONIO TX
10338,2012,5851,5851,M,12.0,25.0,MA,3.0,BERKSHIRE,532.0,ALBANY-SCHENECTADY-TROY NY
10560,2012,6,6,F,606.0,17.0,IL,31.0,COOK,602.0,CHICAGO IL
10583,2012,5851,5851,M,473.0,18.0,IN,177.0,WAYNE,527.0,INDIANAPOLIS IN
10741,2012,5851,5851,M,731.0,40.0,OK,109.0,OKLAHOMA,650.0,OKLAHOMA CITY OK
11144,2012,5851,5851,M,440.0,39.0,OH,55.0,GEAUGA,510.0,CLEVELAND OH
11547,2012,5851,5851,M,14.0,25.0,MA,17.0,MIDDLESEX,506.0,BOSTON (MANCHESTER) MA-NH
11671,2012,128,128,F,853.0,4.0,AZ,27.0,YUMA,771.0,YUMA-EL CENTRO AZ-CA
11950,2012,5851,5851,M,198.0,10.0,DE,3.0,NEW CASTLE,504.0,PHILADELPHIA PA
12063,2012,869,869,F,850.0,4.0,AZ,13.0,MARICOPA,753.0,PHOENIX AZ
12168,2012,5851,5851,M,461.0,18.0,IN,133.0,PUTNAM,527.0,INDIANAPOLIS IN
12353,2012,5851,5851,M,27.0,25.0,MA,5.0,BRISTOL,521.0,PROVIDENCE-NEW BEDFORD RI-MA
12493,2012,8106,8106,C,10.0,25.0,MA,13.0,HAMPDEN,543.0,SPRINGFIELD-HOLYOKE MA
12869,2012,34,34,F,23.0,25.0,MA,23.0,PLYMOUTH,506.0,BOSTON (MANCHESTER) MA-NH
13300,2012,5851,5851,M,300.0,13.0,GA,89.0,DE KALB,524.0,ATLANTA GA
13562,2012,5851,5851,M,465.0,18.0,IN,85.0,KOSCIUSKO,588.0,SOUTH BEND-ELKHART IN
13965,2012,5851,5851,M,481.0,26.0,MI,161.0,WASHTENAW,505.0,DETROIT MI
14368,2012,5851,5851,M,797.0,48.0,TX,329.0,MIDLAND,633.0,ODESSA-MIDLAND TX
14771,2012,5851,5851,M,481.0,26.0,MI,115.0,MONROE,505.0,DETROIT MI
