,merger,price_1,se_price_1,nest_1,se_nest_1,price_2,se_price_2,nest_2,se_nest_2,price_3,se_price_3,nest_3,se_nest_3,price_4,se_price_4,nest_4,se_nest_4,price_5,se_price_5,nest_5,se_nest_5,price_6,se_price_6,nest_6,se_nest_6,price_7,se_price_7,nest_7,se_nest_7,price_8,se_price_8,nest_8,se_nest_8,price_9,se_price_9,nest_9,se_nest_9
0,m_1785984020_2,-0.107***,(0.00932),0.893***,(0.00816),-0.745***,(0.140),0.165***,(0.0518),-0.287**,(0.115),0.233***,(0.0588),-0.110***,(0.00937),0.892***,(0.00823),-1.417***,(0.329),0.110*,(0.0601),-0.0610,(0.0804),0.271***,(0.0542),-0.107***,(0.00954),0.894***,(0.00816),-1.208***,(0.375),0.147**,(0.0575),4.078***,(1.450),0.396**,(0.154)
1,m_1817013020_2,-0.00653***,(0.000534),0.994***,(0.00141),-0.0866***,(0.00717),0.931***,(0.0294),-0.0405***,(0.00548),1.400***,(0.0620),-0.00743***,(0.000533),0.994***,(0.00141),-0.212,(0.153),1.092***,(0.231),-0.152***,(0.00861),0.812***,(0.0711),-0.00192***,(0.000422),0.996***,(0.00110),0.516***,(0.158),0.929***,(0.0469),0.0562***,(0.0175),0.907***,(0.0228)
2,m_1817013020_4,-0.0602***,(0.00403),0.995***,(0.00187),-1.222***,(0.0853),1.277***,(0.0514),-0.835***,(0.0298),0.994***,(0.0272),-0.0514***,(0.00414),0.996***,(0.00181),-1.102***,(0.0919),1.222***,(0.0552),-0.580***,(0.0338),0.981***,(0.0360),-0.0116***,(0.00293),0.997***,(0.00112),11.00,(9.456),0.517,(0.493),2.257,(1.440),0.499*,(0.265)
3,m_1817013020_5,-0.0274***,(0.00164),0.991***,(0.00184),-0.333***,(0.0152),1.064***,(0.0335),-0.690***,(0.0497),1.090***,(0.0480),-0.0241***,(0.00165),0.992***,(0.00184),-0.479***,(0.147),0.995***,(0.135),0.0252,(0.0466),0.995***,(0.00948),-0.00622***,(0.00138),0.996***,(0.00131),2.202***,(0.675),0.314*,(0.178),0.0252,(0.0466),0.995***,(0.00948)
4,m_1863014020_1,-0.654***,(0.0250),0.963***,(0.00243),-5.975***,(0.316),-0.0980,(0.136),-6.614***,(0.118),0.564***,(0.0754),-0.237***,(0.0197),0.978***,(0.00229),0.660,(1.607),-0.491*,(0.257),-1.548***,(0.122),0.605***,(0.0789),-0.172***,(0.0181),0.983***,(0.00224),9.983,(7.861),-0.304,(0.491),-6.819***,(1.800),0.861***,(0.0399)
5,m_1912896020_1,-0.112***,(0.0170),0.981***,(0.00335),-0.688***,(0.167),-0.436,(0.291),-1.134***,(0.0991),-0.442**,(0.196),-0.00840,(0.0167),0.987***,(0.00331),1.241***,(0.364),-0.309,(0.314),-0.406***,(0.129),-0.0624,(0.229),-0.0638***,(0.0184),0.987***,(0.00323),-10.28***,(3.422),-0.659,(0.444),-16.50*,(8.436),0.803***,(0.146)
6,m_1973045020_2,-0.00284***,(0.000544),1.000***,(0.000938),-0.0332***,(0.00228),0.946***,(0.0136),-0.0188***,(0.00269),1.075***,(0.00876),-0.00345***,(0.000544),1.001***,(0.000909),-0.0625***,(0.00302),0.821***,(0.0156),-0.0591***,(0.00252),1.007***,(0.00875),-0.00126***,(0.000242),0.999***,(0.000350),0.146***,(0.0513),0.900***,(0.0526),-9.29e-05,(0.00369),0.990***,(0.00401)
7,m_2033113020_1,-0.0113***,(0.00286),0.996***,(0.000722),-0.159**,(0.0727),0.813***,(0.0351),-0.101***,(0.0362),0.568***,(0.0773),-0.0101***,(0.00281),0.996***,(0.000706),-0.636***,(0.159),0.761***,(0.0502),-0.0586,(0.0358),0.671***,(0.0748),-0.0148***,(0.00288),0.996***,(0.000665),-0.694***,(0.161),0.869***,(0.0360),-1.016***,(0.345),0.907***,(0.0336)
8,m_2033113020_4,-0.180***,(0.00487),0.976***,(0.00185),-0.349***,(0.0575),0.308***,(0.0833),-1.216***,(0.0342),0.154,(0.117),-0.00663***,(0.00250),0.993***,(0.000874),0.171*,(0.0950),0.728***,(0.0551),-0.0506*,(0.0277),0.417***,(0.0893),-0.0153***,(0.00228),0.994***,(0.000830),4.482,(6.349),0.583***,(0.217),0.793***,(0.278),0.825***,(0.0479)
9,m_2033113020_5,-0.0243***,(0.00375),0.961***,(0.00283),0.151,(0.128),0.111,(0.115),-0.420***,(0.0286),-0.372***,(0.0553),0.00534*,(0.00281),0.971***,(0.00206),1.352***,(0.194),1.167***,(0.156),-0.268***,(0.0233),-0.0749*,(0.0414),-0.0198***,(0.00199),0.983***,(0.00163),-0.356***,(0.123),0.719***,(0.0782),0.319***,(0.108),0.890***,(0.0248)
