,merger,own_price,se_own_price,own_price_OLS,se_own_price_OLS
0,m_1912896020_1,-2.997***,(0.212),-0.135***,(0.0184)
1,m_1973045020_1,-0.0432***,(0.00463),-0.00537***,(0.000756)
2,m_1973045020_2,-0.0929***,(0.00377),-0.00284***,(0.000544)
3,m_2194164020_1,1.702***,(0.142),0.0203***,(0.00504)
4,m_2194164020_2,0.374***,(0.0638),-0.0232***,(0.00289)
5,m_2203820020_1,-2.995***,(0.502),-0.00973***,(0.00174)
6,m_2203820020_11,0.185*,(0.107),-0.00275*,(0.00152)
7,m_2203820020_2,-0.818***,(0.156),-0.199***,(0.00547)
8,m_2203820020_3,-0.0951,(0.0724),-0.0492***,(0.00234)
9,m_2203820020_4,-0.799***,(0.209),-0.0184***,(0.00216)
10,m_2203820020_8,0.0593,(0.0921),-0.0342***,(0.00267)
11,m_2223711020_1,-0.581*,(0.325),0.00432***,(0.00114)
12,m_2223711020_2,-1.149***,(0.0959),-0.00768***,(0.000993)
13,m_2223711020_3,0.383***,(0.0511),-0.00340***,(0.000306)
14,m_2223711020_4,0.113,(0.0734),-0.00687***,(0.000530)
15,m_2223711020_5,0.0330***,(0.00242),0.00127***,(0.000165)
16,m_2223711020_6,-0.136***,(0.0216),-0.000663***,(0.000100)
17,m_2388515020_1,-0.546***,(0.134),-0.0135***,(0.00231)
18,m_2614332020_1,-0.661,(1.538),-4.810***,(0.394)
19,m_2638034020_1,-0.392***,(0.0190),-0.0149***,(0.000903)
20,m_2641303020_2,-0.154***,(0.0442),-0.00868***,(0.00147)
21,m_2641303020_3,-0.0523**,(0.0250),-0.00517***,(0.00179)
22,m_2641303020_6,-0.573***,(0.157),-0.0172***,(0.00193)
23,m_2735179020_10,0.00812***,(0.000338),0.000149***,(1.46e-05)
24,m_2735179020_11,5.185,"(1,157)",5.85e-05***,(4.19e-06)
25,m_2735179020_12,0.00518***,(0.000165),0.000239***,(1.41e-05)
26,m_2735179020_14,0.00449***,(0.000416),0.000355***,(4.87e-05)
27,m_2735179020_15,0.000530***,(3.77e-05),0.000123***,(6.13e-06)
28,m_2735179020_16,0.0720***,(0.0221),-2.09e-05,(6.82e-05)
29,m_2735179020_18,0.0114***,(0.000620),0.000263***,(2.46e-05)
30,m_2735179020_21,-0.156**,(0.0758),-0.00675***,(0.00142)
31,m_2735179020_22,-5.406***,(0.541),-0.0469***,(0.0104)
32,m_2735179020_3,0.0303***,(0.00110),0.000207***,(2.10e-05)
33,m_2735179020_6,0.00447***,(0.000322),0.000150***,(1.39e-05)
34,m_2735179020_8,0.00353***,(0.00105),-3.62e-05,(5.78e-05)
35,m_2735179020_9,0.00565***,(0.000667),0.000167***,(3.47e-05)
36,m_2736521020_11,-1.059***,(0.176),-0.0208***,(0.00506)
37,m_2736521020_3,0.507***,(0.118),-0.149***,(0.00706)
38,m_2816904020_1,-12.51***,(3.367),-0.234***,(0.0237)
39,m_2823116020_15,1.111***,(0.275),0.0542***,(0.0126)
40,m_2823116020_22,1.525,(1.123),-0.0457***,(0.0152)
41,m_2962238020_1,0.304*,(0.155),-0.00984***,(0.00211)
42,m_2962238020_2,-0.558***,(0.0727),0.00330*,(0.00174)
43,m_2962238020_5,0.413,(0.372),-0.00661***,(0.00103)
