,merger,parties_0,parties_1,parties_2,overlap
0,m_1785984020_1,205,0,0,False
1,m_1785984020_10,193,10,0,False
2,m_1785984020_2,46,96,60,True
3,m_1785984020_3,204,0,0,False
4,m_1785984020_4,200,0,0,False
5,m_1785984020_5,204,0,0,False
6,m_1785984020_6,205,0,0,False
7,m_1785984020_7,205,0,0,False
8,m_1785984020_8,205,0,0,False
9,m_1785984020_9,205,0,0,False
10,m_1817013020_1,0,1,204,True
11,m_1817013020_2,0,205,0,False
12,m_1817013020_3,0,205,0,False
13,m_1817013020_4,0,205,0,False
14,m_1817013020_5,0,205,0,False
15,m_1838188020_1,205,0,0,False
16,m_1838188020_2,205,0,0,False
17,m_1838188020_3,128,76,0,False
18,m_1838188020_4,205,0,0,False
19,m_1863014020_1,0,1,204,True
20,m_1912896020_1,1,1,198,True
21,m_1920449020_1,0,205,0,False
22,m_1920449020_2,1,204,0,False
23,m_1920449020_3,3,201,0,False
24,m_1920449020_4,205,0,0,False
25,m_1921262020_1,0,205,0,False
26,m_1921262020_2,205,0,0,False
27,m_1921262020_3,0,205,0,False
28,m_1923401020_1,25,6,174,True
29,m_1973045020_1,0,0,205,True
30,m_1973045020_2,0,0,205,True
31,m_1973045020_3,191,0,0,False
32,m_1973045020_4,205,0,0,False
33,m_2033113020_1,9,4,192,True
34,m_2033113020_4,21,39,145,True
35,m_2033113020_5,20,19,165,True
36,m_2105747040_1,0,0,205,True
37,m_2105747040_2,0,0,205,True
38,m_2105747040_3,191,0,0,False
39,m_2105747040_4,0,205,0,False
40,m_2129407020_1,48,157,0,False
41,m_2129407020_10,24,139,42,True
42,m_2129407020_11,1,180,24,True
43,m_2129407020_12,0,180,25,True
44,m_2129407020_13,205,0,0,False
45,m_2129407020_14,205,0,0,False
46,m_2129407020_15,205,0,0,False
47,m_2129407020_16,6,2,197,True
48,m_2129407020_17,199,0,0,False
49,m_2129407020_18,205,0,0,False
50,m_2129407020_19,4,198,0,False
51,m_2129407020_2,2,203,0,False
52,m_2129407020_3,45,155,5,True
53,m_2129407020_4,0,170,35,True
54,m_2129407020_5,195,10,0,False
55,m_2129407020_6,54,148,3,True
56,m_2129407020_7,205,0,0,False
57,m_2129407020_8,205,0,0,False
58,m_2129407020_9,80,125,0,False
59,m_2143743020_1,0,0,205,True
60,m_2190306020_1,205,0,0,False
61,m_2190306020_2,205,0,0,False
62,m_2190306020_3,205,0,0,False
63,m_2190306020_4,205,0,0,False
64,m_2190306020_5,146,33,0,False
65,m_2194164020_1,0,1,205,True
66,m_2194164020_2,2,130,74,True
67,m_2194164020_3,2,204,0,False
68,m_2203820020_1,2,6,197,True
69,m_2203820020_10,102,103,0,False
70,m_2203820020_11,171,24,0,True
71,m_2203820020_12,115,50,0,False
72,m_2203820020_2,2,24,179,True
73,m_2203820020_3,2,25,177,True
74,m_2203820020_4,4,58,143,True
75,m_2203820020_5,9,196,0,False
76,m_2203820020_6,16,189,0,False
77,m_2203820020_7,12,193,0,False
78,m_2203820020_8,75,120,10,True
79,m_2203820020_9,3,29,173,True
80,m_2219897040_1,0,205,0,False
81,m_2219897040_2,205,0,0,False
82,m_2219897040_3,205,0,0,False
83,m_2223711020_1,0,0,205,True
