,merger,pre_hhi,post_hhi,dhhi,c4,post_merger_1,se_pm_1,pval_pm_1,post_merger_dhhi_1,se_pmmd_1,pval_pmmd_1,post_merger_2,se_pm_2,pval_pm_2,post_merger_dhhi_2,se_pmmd_2,pval_pmmd_2,post_merger_3,se_pm_3,pval_pm_3,post_merger_dhhi_3,se_pmmd_3,pval_pmmd_3,post_merger_4,se_pm_4,pval_pm_4,post_merger_dhhi_4,se_pmmd_4,pval_pmmd_4,post_merger_5,se_pm_5,pval_pm_5,post_merger_dhhi_5,se_pmmd_5,pval_pmmd_5,post_merger_6,se_pm_6,pval_pm_6,post_merger_dhhi_6,se_pmmd_6,pval_pmmd_6,post_merger_7,se_pm_7,pval_pm_7,post_merger_dhhi_7,se_pmmd_7,pval_pmmd_7,post_merger_8,se_pm_8,pval_pm_8,post_merger_dhhi_8,se_pmmd_8,pval_pmmd_8,post_merger_9,se_pm_9,pval_pm_9,post_merger_dhhi_9,se_pmmd_9,pval_pmmd_9,post_merger_10,se_pm_10,pval_pm_10,post_merger_dhhi_10,se_pmmd_10,pval_pmmd_10,post_merger_11,se_pm_11,pval_pm_11,post_merger_dhhi_11,se_pmmd_11,pval_pmmd_11,post_merger_12,se_pm_12,pval_pm_12,post_merger_dhhi_12,se_pmmd_12,pval_pmmd_12,post_merger_13,se_pm_13,pval_pm_13,post_merger_dhhi_13,se_pmmd_13,pval_pmmd_13,post_merger_14,se_pm_14,pval_pm_14,post_merger_dhhi_14,se_pmmd_14,pval_pmmd_14,post_merger_15,se_pm_15,pval_pm_15,post_merger_dhhi_15,se_pmmd_15,pval_pmmd_15,post_merger_16,se_pm_16,pval_pm_16,post_merger_dhhi_16,se_pmmd_16,pval_pmmd_16,post_merger_17,se_pm_17,pval_pm_17,post_merger_dhhi_17,se_pmmd_17,pval_pmmd_17,post_merger_18,se_pm_18,pval_pm_18,post_merger_dhhi_18,se_pmmd_18,pval_pmmd_18,post_merger_19,se_pm_19,pval_pm_19,post_merger_dhhi_19,se_pmmd_19,pval_pmmd_19,post_merger_20,se_pm_20,pval_pm_20,post_merger_dhhi_20,se_pmmd_20,pval_pmmd_20,post_merger_21,se_pm_21,pval_pm_21,post_merger_dhhi_21,se_pmmd_21,pval_pmmd_21,post_merger_22,se_pm_22,pval_pm_22,post_merger_dhhi_22,se_pmmd_22,pval_pmmd_22,post_merger_23,se_pm_23,pval_pm_23,post_merger_dhhi_23,se_pmmd_23,pval_pmmd_23,post_merger_24,se_pm_24,pval_pm_24,post_merger_dhhi_24,se_pmmd_24,pval_pmmd_24,post_merger_25,se_pm_25,pval_pm_25,post_merger_dhhi_25,se_pmmd_25,pval_pmmd_25,post_merger_26,se_pm_26,pval_pm_26,post_merger_dhhi_26,se_pmmd_26,pval_pmmd_26,post_merger_27,se_pm_27,pval_pm_27,post_merger_dhhi_27,se_pmmd_27,pval_pmmd_27,post_merger_28,se_pm_28,pval_pm_28,post_merger_dhhi_28,se_pmmd_28,pval_pmmd_28,post_merger_29,se_pm_29,pval_pm_29,post_merger_dhhi_29,se_pmmd_29,pval_pmmd_29,post_merger_30,se_pm_30,pval_pm_30,post_merger_dhhi_30,se_pmmd_30,pval_pmmd_30,post_merger_31,se_pm_31,pval_pm_31,post_merger_dhhi_31,se_pmmd_31,pval_pmmd_31,post_merger_32,se_pm_32,pval_pm_32,post_merger_dhhi_32,se_pmmd_32,pval_pmmd_32,post_merger_33,se_pm_33,pval_pm_33,post_merger_dhhi_33,se_pmmd_33,pval_pmmd_33,post_merger_34,se_pm_34,pval_pm_34,post_merger_dhhi_34,se_pmmd_34,pval_pmmd_34,post_merger_35,se_pm_35,pval_pm_35,post_merger_dhhi_35,se_pmmd_35,pval_pmmd_35,post_merger_36,se_pm_36,pval_pm_36,post_merger_dhhi_36,se_pmmd_36,pval_pmmd_36,post_merger_37,se_pm_37,pval_pm_37,post_merger_dhhi_37,se_pmmd_37,pval_pmmd_37,post_merger_38,se_pm_38,pval_pm_38,post_merger_dhhi_38,se_pmmd_38,pval_pmmd_38,post_merger_39,se_pm_39,pval_pm_39,post_merger_dhhi_39,se_pmmd_39,pval_pmmd_39,post_merger_40,se_pm_40,pval_pm_40,post_merger_dhhi_40,se_pmmd_40,pval_pmmd_40,post_merger_41,se_pm_41,pval_pm_41,post_merger_dhhi_41,se_pmmd_41,pval_pmmd_41,post_merger_42,se_pm_42,pval_pm_42,post_merger_dhhi_42,se_pmmd_42,pval_pmmd_42,post_merger_43,se_pm_43,pval_pm_43,post_merger_dhhi_43,se_pmmd_43,pval_pmmd_43,post_merger_44,se_pm_44,pval_pm_44,post_merger_dhhi_44,se_pmmd_44,pval_pmmd_44,post_merger_45,se_pm_45,pval_pm_45,post_merger_dhhi_45,se_pmmd_45,pval_pmmd_45
0,m_1785984020_2,0.5016750375880089,0.5019394490928598,0.00026441150487439846,0.8505068066007383,0.0243**,(0.0123),0.0496,,,,-0.0214***,(0.00513),4.35e-05,,,,,,,,,,-0.0365***,(0.00545),1.95e-10,,,,-0.0219***,(0.00511),2.85e-05,,,,0.132***,(0.0116),0,,,,-0.00655,(0.00846),0.439,,,,,,,,,,-0.0217**,(0.00856),0.0119,,,,-0.00673,(0.00865),0.437,,,,-0.00472,(0.0121),0.697,12.68*,(7.483),0.0916,-0.0163***,(0.00590),0.00623,2.178,(1.912),0.256,,,,2.309,(1.977),0.244,-0.0315***,(0.00619),8.09e-07,2.186,(1.927),0.258,-0.0157***,(0.00581),0.00761,-2.184,(1.482),0.142,0.0213,(0.0257),0.409,,,,0.0244,(0.0250),0.330,,,,-0.00385,(0.0125),0.758,,,,0.00531,(0.0137),0.698,,,,0.00574,(0.0131),0.661,,,,-0.0163***,(0.00590),0.00623,,,,,,,,,,,,,,,,,,,,,,-0.00990,(0.0138),0.475,,,,0.00243,(0.0112),0.828,,,,-0.00946,(0.0132),0.475,,,,0.000592,(0.0107),0.956,,,,-0.0315***,(0.00619),8.09e-07,,,,-0.0157***,(0.00581),0.00761,,,,0.0230**,(0.0114),0.0453,,,,-0.0221***,(0.00423),4.31e-07,,,,,,,,,,-0.0367***,(0.00463),0,,,,-0.0226***,(0.00423),2.49e-07,,,,0.130***,(0.0111),0,,,,-0.00724,(0.00750),0.336,,,,,,,,,,-0.0219***,(0.00765),0.00464,,,,-0.00743,(0.00771),0.336,,,,-0.00600,(0.0111),0.589,12.51*,(6.937),0.0728,-0.0169***,(0.00498),0.000805,1.621,(1.566),0.302,,,,2.026,(1.785),0.258,-0.0317***,(0.00535),1.39e-08,1.704,(1.631),0.297,-0.0163***,(0.00494),0.00111,-2.091,(1.331),0.118
1,m_1817013020_1,0.4906999218373829,0.5032017348558167,0.012501813017824116,0.9346351927278224,-0.0405***,(0.00240),0,,,,0.0305***,(0.00202),0,,,,,,,,,,0.0165***,(0.00184),0,,,,0.0304***,(0.00202),0,,,,-0.133***,(0.00260),0,,,,0.0136***,(0.00119),0,,,,,,,,,,-0.000276,(0.00113),0.808,,,,0.0135***,(0.00120),0,,,,-0.0183***,(0.00336),1.40e-07,-0.0991,(0.0810),0.223,0.0342***,(0.00201),0,-0.0275,(0.0409),0.502,,,,-0.0271,(0.0409),0.508,0.0201***,(0.00182),0,-0.0272,(0.0410),0.508,0.0342***,(0.00239),0,-0.0287,(0.0459),0.532,-0.0217***,(0.00736),0.00356,,,,-0.0238***,(0.00636),0.000234,,,,-0.0191***,(0.00312),4.99e-09,,,,0.0543***,(0.00824),3.68e-10,,,,0.0485***,(0.00682),0,,,,0.0342***,(0.00201),0,,,,,,,,,,,,,,,,,,,,,,0.0403***,(0.00838),3.01e-06,,,,0.0419***,(0.00845),1.45e-06,,,,0.0344***,(0.00692),1.36e-06,,,,0.0385***,(0.00640),8.48e-09,,,,0.0201***,(0.00182),0,,,,0.0342***,(0.00239),0,,,,-0.0401***,(0.00278),0,,,,0.0303***,(0.00191),0,,,,,,,,,,0.0164***,(0.00179),0,,,,0.0302***,(0.00188),0,,,,-0.132***,(0.00280),0,,,,0.0134***,(0.00121),0,,,,,,,,,,-0.000306,(0.00114),0.789,,,,0.0133***,(0.00128),0,,,,-0.0173***,(0.00380),9.84e-06,-0.147*,(0.0856),0.0872,0.0340***,(0.00190),0,-0.0274,(0.0411),0.506,,,,-0.0271,(0.0409),0.509,0.0201***,(0.00178),0,-0.0272,(0.0410),0.508,0.0338***,(0.00219),0,-0.0184,(0.0418),0.660
2,m_1863014020_1,0.21918798003621007,0.2206004588003532,0.001412478764221648,0.4304804070380016,-0.153***,(0.00241),0,,,,-0.0261***,(0.00159),0,,,,,,,,,,-0.0117***,(0.00192),5.60e-09,,,,-0.0261***,(0.00160),0,,,,-0.418***,(0.00512),0,,,,-0.0210***,(0.00174),0,,,,,,,,,,-0.00659***,(0.00207),0.00165,,,,-0.0209***,(0.00175),0,,,,-0.0255***,(0.00702),0.000358,-9.099**,(4.059),0.0261,-0.0223***,(0.00471),4.21e-06,-2.329,(2.744),0.397,,,,-2.321,(2.728),0.396,-0.00799*,(0.00478),0.0960,-2.307,(2.730),0.399,-0.0269***,(0.00228),0,0.440,(0.711),0.537,-0.0254***,(0.00800),0.00173,,,,-0.0345***,(0.00628),1.18e-07,,,,-0.0350***,(0.00402),0,,,,-0.0265***,(0.00620),2.91e-05,,,,-0.0311***,(0.00439),0,,,,-0.0223***,(0.00471),4.21e-06,,,,,,,,,,,,,,,,,,,,,,-0.0123**,(0.00619),0.0490,,,,-0.0194***,(0.00589),0.00114,,,,-0.0168***,(0.00441),0.000187,,,,-0.0196***,(0.00460),3.04e-05,,,,-0.00799*,(0.00478),0.0960,,,,-0.0269***,(0.00228),0,,,,-0.153***,(0.00263),0,,,,-0.0264***,(0.00151),0,,,,,,,,,,-0.0117***,(0.00187),2.43e-09,,,,-0.0264***,(0.00149),0,,,,-0.418***,(0.00527),0,,,,-0.0213***,(0.00163),0,,,,,,,,,,-0.00659***,(0.00203),0.00134,,,,-0.0212***,(0.00161),0,,,,-0.0264***,(0.00728),0.000367,-8.337*,(4.312),0.0546,-0.0226***,(0.00435),4.79e-07,-2.276,(2.558),0.375,,,,-2.307,(2.679),0.390,-0.00798*,(0.00478),0.0967,-2.309,(2.738),0.400,-0.0270***,(0.00237),0,0.322,(0.863),0.709
3,m_1912896020_1,0.41024936007401486,0.4692635158420789,0.059014155766752396,0.7168531542242514,0.0907***,(0.00248),0,,,,0.0123***,(0.000957),0,,,,,,,,,,0.0167***,(0.00101),0,,,,0.0125***,(0.000940),0,,,,0.379***,(0.00706),0,,,,-0.0147***,(0.00156),0,,,,,,,,,,-0.0104***,(0.00165),1.78e-09,,,,-0.0145***,(0.00154),0,,,,0.0118,(0.0200),0.554,0.212,(0.358),0.555,0.00635,(0.00440),0.151,0.283***,(0.0836),0.000848,,,,0.285***,(0.0838),0.000802,0.0107**,(0.00443),0.0162,0.284***,(0.0836),0.000825,0.0143***,(0.00325),1.73e-05,0.138***,(0.0508),0.00732,0.0560***,(0.0151),0.000272,,,,0.0824***,(0.0116),0,,,,0.00126,(0.00658),0.848,,,,0.0503***,(0.0152),0.00108,,,,0.0681***,(0.0125),1.54e-07,,,,0.00635,(0.00440),0.151,,,,,,,,,,,,,,,,,,,,,,0.0546***,(0.0152),0.000408,,,,0.0295*,(0.0157),0.0608,,,,0.0725***,(0.0126),2.92e-08,,,,0.0388***,(0.0131),0.00336,,,,0.0107**,(0.00443),0.0162,,,,0.0143***,(0.00325),1.73e-05,,,,0.0905***,(0.00245),0,,,,0.0122***,(0.000956),0,,,,,,,,,,0.0166***,(0.00101),0,,,,0.0124***,(0.000894),0,,,,0.379***,(0.00703),0,,,,-0.0148***,(0.00153),0,,,,,,,,,,-0.0105***,(0.00160),4.96e-10,,,,-0.0147***,(0.00153),0,,,,0.0108,(0.0194),0.578,0.226,(0.351),0.521,0.00639,(0.00441),0.149,0.282***,(0.0833),0.000858,,,,0.287***,(0.0843),0.000799,0.0108**,(0.00444),0.0159,0.281***,(0.0831),0.000856,0.0143***,(0.00294),2.51e-06,0.137***,(0.0455),0.00301
4,m_1923401020_1,0.19132967364572212,0.1844801973558207,-0.0068494762887199865,0.2695257674490568,-0.0513***,(0.00245),0,,,,-0.0149***,(0.00223),2.39e-10,,,,,,,,,,-0.0240***,(0.00226),0,,,,-0.0150***,(0.00223),1.97e-10,,,,0.0885***,(0.00482),0,,,,-0.0227***,(0.00262),0,,,,,,,,,,-0.0319***,(0.00265),0,,,,-0.0229***,(0.00261),0,,,,-0.0792***,(0.0109),0,-9.625***,(2.292),4.00e-05,-0.0205***,(0.00247),0,-1.025***,(0.307),0.000990,,,,-1.043***,(0.303),0.000705,-0.0296***,(0.00252),0,-1.022***,(0.308),0.00107,-0.0158***,(0.00386),6.23e-05,-0.292,(0.334),0.383,-0.0361***,(0.0106),0.000809,,,,-0.0272***,(0.00986),0.00636,,,,-0.0189***,(0.00270),0,,,,-0.0304***,(0.0113),0.00786,,,,-0.0216*,(0.0120),0.0723,,,,-0.0205***,(0.00247),0,,,,,,,,,,,,,,,,,,,,,,-0.0396***,(0.0114),0.000644,,,,-0.0143,(0.00931),0.127,,,,-0.0308**,(0.0120),0.0110,,,,-0.0118,(0.00908),0.197,,,,-0.0296***,(0.00252),0,,,,-0.0158***,(0.00386),6.23e-05,,,,-0.0513***,(0.00321),0,,,,-0.0149***,(0.00296),1.09e-06,,,,,,,,,,-0.0243***,(0.00323),0,,,,-0.0150***,(0.00309),2.59e-06,,,,0.0886***,(0.00557),0,,,,-0.0227***,(0.00332),9.15e-11,,,,,,,,,,-0.0322***,(0.00359),0,,,,-0.0229***,(0.00344),2.62e-10,,,,-0.0810***,(0.0108),0,-9.899***,(2.180),9.55e-06,-0.0212***,(0.00348),5.72e-09,-1.122***,(0.292),0.000166,,,,-1.053***,(0.302),0.000607,-0.0306***,(0.00383),0,-1.127***,(0.294),0.000168,-0.0163***,(0.00528),0.00231,-0.374,(0.407),0.359
5,m_1973045020_1,0.23391544601353045,0.25806267761252555,0.024147231598309674,0.570515921090179,0.0881***,(0.00153),0,,,,0.104***,(0.00129),0,,,,,,,,,,0.117***,(0.00126),0,,,,0.104***,(0.00128),0,,,,-0.0257***,(0.00358),0,,,,0.0729***,(0.00152),0,,,,,,,,,,0.0860***,(0.00143),0,,,,0.0731***,(0.00153),0,,,,0.0570***,(0.0194),0.00358,2.023***,(0.759),0.00831,0.0949***,(0.00842),0,0.196,(0.312),0.532,,,,0.188,(0.312),0.546,0.108***,(0.00828),0,0.195,(0.312),0.534,0.108***,(0.00521),0,-0.319,(0.197),0.106,0.0518,(0.0318),0.105,,,,0.0777***,(0.0203),0.000167,,,,0.107***,(0.00950),0,,,,0.0310,(0.0257),0.229,,,,0.0696***,(0.0152),8.13e-06,,,,0.0949***,(0.00842),0,,,,,,,,,,,,,,,,,,,,,,0.0439*,(0.0257),0.0894,,,,0.118***,(0.0238),1.68e-06,,,,0.0825***,(0.0154),2.38e-07,,,,0.0918***,(0.0159),2.89e-08,,,,0.108***,(0.00828),0,,,,0.108***,(0.00521),0,,,,0.0880***,(0.00158),0,,,,0.104***,(0.00134),0,,,,,,,,,,0.117***,(0.00124),0,,,,0.104***,(0.00143),0,,,,-0.0257***,(0.00340),0,,,,0.0729***,(0.00169),0,,,,,,,,,,0.0859***,(0.00153),0,,,,0.0730***,(0.00185),0,,,,0.0532**,(0.0206),0.0106,2.168***,(0.812),0.00821,0.0951***,(0.00875),0,0.186,(0.324),0.566,,,,0.191,(0.311),0.541,0.108***,(0.00846),0,0.190,(0.320),0.553,0.109***,(0.00546),0,-0.360*,(0.213),0.0917
6,m_1973045020_2,0.43598155534206706,0.4501653420847314,0.01418378674345803,0.6723886177675781,0.0788***,(0.00498),0,,,,0.0526***,(0.00207),0,,,,,,,,,,0.0496***,(0.00212),0,,,,0.0528***,(0.00205),0,,,,0.0447***,(0.0135),0.00112,,,,0.0277***,(0.00267),0,,,,,,,,,,0.0255***,(0.00275),0,,,,0.0281***,(0.00260),0,,,,0.0743***,(0.00668),0,-1.481***,(0.552),0.00791,0.0640***,(0.00445),0,-0.724**,(0.292),0.0140,,,,-0.723**,(0.293),0.0143,0.0609***,(0.00418),0,-0.724**,(0.292),0.0140,0.0560***,(0.00376),0,-0.0130,(0.204),0.949,0.0422,(0.0389),0.279,,,,0.0389,(0.0396),0.326,,,,0.0615***,(0.00398),0,,,,-0.0136,(0.0345),0.695,,,,-0.0206,(0.0390),0.599,,,,0.0640***,(0.00445),0,,,,,,,,,,,,,,,,,,,,,,-0.0167,(0.0346),0.630,,,,0.0333,(0.0311),0.285,,,,-0.0237,(0.0391),0.546,,,,0.0331,(0.0311),0.288,,,,0.0609***,(0.00418),0,,,,0.0560***,(0.00376),0,,,,0.0788***,(0.00495),0,,,,0.0526***,(0.00207),0,,,,,,,,,,0.0496***,(0.00216),0,,,,0.0528***,(0.00204),0,,,,0.0446***,(0.0135),0.00111,,,,0.0277***,(0.00272),0,,,,,,,,,,0.0254***,(0.00283),0,,,,0.0281***,(0.00268),0,,,,0.0753***,(0.00651),0,-1.576***,(0.522),0.00287,0.0641***,(0.00443),0,-0.724**,(0.292),0.0139,,,,-0.722**,(0.292),0.0141,0.0609***,(0.00414),0,-0.724**,(0.291),0.0138,0.0561***,(0.00369),0,-0.0166,(0.201),0.934
7,m_2033113020_1,0.3724252138109465,0.36967824281151,-0.0027469709991232286,0.3213676482866794,-0.0762***,(0.00739),0,,,,-0.0270***,(0.00347),0,,,,,,,,,,-0.0308***,(0.00366),0,,,,-0.0267***,(0.00370),0,,,,0.181***,(0.00579),0,,,,-0.0243***,(0.00385),1.84e-09,,,,,,,,,,-0.0280***,(0.00402),0,,,,-0.0278***,(0.00462),8.40e-09,,,,-0.0341***,(0.00486),0,-1.412**,(0.565),0.0132,-0.0360***,(0.00351),0,-0.559*,(0.314),0.0765,,,,-0.615*,(0.320),0.0559,-0.0398***,(0.00370),0,-0.562*,(0.314),0.0751,-0.0360***,(0.00346),0,-0.733**,(0.293),0.0133,0.0268,(0.0222),0.228,,,,0.0279,(0.0220),0.207,,,,-0.0348***,(0.00506),7.19e-11,,,,0.0443***,(0.0142),0.00208,,,,0.0424***,(0.0147),0.00441,,,,-0.0360***,(0.00351),0,,,,,,,,,,,,,,,,,,,,,,0.0405***,(0.0142),0.00487,,,,-0.000700,(0.0125),0.955,,,,0.0385***,(0.0148),0.00967,,,,-0.00304,(0.0134),0.820,,,,-0.0398***,(0.00370),0,,,,-0.0360***,(0.00346),0,,,,-0.0758***,(0.00735),0,,,,-0.0266***,(0.00354),0,,,,,,,,,,-0.0306***,(0.00375),0,,,,-0.0263***,(0.00380),5.24e-11,,,,0.182***,(0.00677),0,,,,-0.0239***,(0.00380),1.95e-09,,,,,,,,,,-0.0278***,(0.00400),0,,,,-0.0274***,(0.00458),9.87e-09,,,,-0.0339***,(0.00466),0,-1.371**,(0.538),0.0115,-0.0357***,(0.00353),0,-0.521*,(0.312),0.0961,,,,-0.614*,(0.319),0.0558,-0.0397***,(0.00373),0,-0.524*,(0.311),0.0939,-0.0357***,(0.00354),0,-0.726*,(0.390),0.0640
8,m_2033113020_4,0.5414486252864075,0.542266904372278,0.0008182790859745155,0.7389340563050305,-0.0374***,(0.00412),0,,,,-0.0137***,(0.00212),8.35e-10,,,,,,,,,,-0.0187***,(0.00212),0,,,,-0.0131***,(0.00213),3.62e-09,,,,0.220***,(0.00592),0,,,,-0.00396,(0.00389),0.309,,,,,,,,,,-0.00904**,(0.00379),0.0178,,,,-0.00262,(0.00400),0.513,,,,-0.00647**,(0.00297),0.0308,-1.544,(1.128),0.172,-0.0161***,(0.00223),0,-0.601***,(0.217),0.00612,,,,-0.718***,(0.233),0.00230,-0.0212***,(0.00223),0,-0.608***,(0.222),0.00662,-0.0167***,(0.00225),0,0.466**,(0.213),0.0299,-0.0357**,(0.0160),0.0265,,,,-0.0395**,(0.0152),0.0101,,,,-0.00638**,(0.00299),0.0339,,,,-0.0328***,(0.0114),0.00443,,,,-0.0339***,(0.0106),0.00165,,,,-0.0161***,(0.00223),0,,,,,,,,,,,,,,,,,,,,,,-0.0377***,(0.0113),0.00102,,,,-0.0297***,(0.00921),0.00148,,,,-0.0388***,(0.0105),0.000292,,,,-0.0273***,(0.00840),0.00137,,,,-0.0212***,(0.00223),0,,,,-0.0167***,(0.00225),0,,,,-0.0374***,(0.00408),0,,,,-0.0134***,(0.00259),6.25e-07,,,,,,,,,,-0.0186***,(0.00253),0,,,,-0.0128***,(0.00276),6.26e-06,,,,0.221***,(0.00647),0,,,,-0.00368,(0.00399),0.357,,,,,,,,,,-0.00891**,(0.00389),0.0230,,,,-0.00224,(0.00412),0.587,,,,-0.00636**,(0.00295),0.0322,-1.516,(1.203),0.209,-0.0159***,(0.00247),7.66e-10,-0.527**,(0.244),0.0320,,,,-0.731***,(0.265),0.00632,-0.0211***,(0.00244),0,-0.554***,(0.206),0.00761,-0.0161***,(0.00272),1.35e-08,-0.0145,(1.096),0.989
9,m_2033113020_5,0.2982780389590275,0.298503800357161,0.00022576139820800744,0.39575061094106917,0.0444***,(0.00463),0,,,,0.0247***,(0.00194),0,,,,,,,,,,0.0166***,(0.00161),0,,,,0.0249***,(0.00195),0,,,,0.0365***,(0.00485),0,,,,0.0206***,(0.00232),0,,,,,,,,,,0.0124***,(0.00178),0,,,,0.0214***,(0.00231),0,,,,0.0502***,(0.00332),0,-0.700,(2.458),0.776,0.0225***,(0.00232),0,0.184,(0.696),0.791,,,,-0.237,(0.645),0.714,0.0144***,(0.00171),0,0.185,(0.697),0.791,0.0226***,(0.00241),0,-1.241,(1.278),0.333,0.0605***,(0.00968),2.32e-09,,,,0.0582***,(0.00964),7.11e-09,,,,0.0507***,(0.00310),0,,,,0.0308***,(0.00518),1.21e-08,,,,0.0306***,(0.00504),6.08e-09,,,,0.0225***,(0.00232),0,,,,,,,,,,,,,,,,,,,,,,0.0227***,(0.00529),2.87e-05,,,,0.0290***,(0.00487),1.17e-08,,,,0.0225***,(0.00513),1.83e-05,,,,0.0282***,(0.00476),1.27e-08,,,,0.0144***,(0.00171),0,,,,0.0226***,(0.00241),0,,,,0.0462***,(0.00791),2.10e-08,,,,0.0252***,(0.00340),0,,,,,,,,,,0.0168***,(0.00367),7.57e-06,,,,0.0254***,(0.00352),0,,,,0.0391***,(0.00805),2.43e-06,,,,0.0211***,(0.00364),2.59e-08,,,,,,,,,,0.0128***,(0.00374),0.000755,,,,0.0219***,(0.00371),1.38e-08,,,,0.0516***,(0.00726),0,1.490,(2.865),0.604,0.0229***,(0.00367),2.39e-09,0.432,(1.520),0.777,,,,-0.216,(0.683),0.752,0.0147***,(0.00377),0.000133,0.443,(1.561),0.777,0.0234***,(0.00392),1.07e-08,-3.032*,(1.772),0.0886
