,brand_code_descr,owner initial,2007,2008,owner last
0,RED VINES,American Licorice Company,American Licorice Company,American Licorice Company,American Licorice Company
1,SOUR PUNCH,American Licorice Company,American Licorice Company,American Licorice Company,American Licorice Company
2,ASHER,Asher’s Chocolates,Asher’s Chocolates,Asher’s Chocolates,Asher’s Chocolates
3,RIESEN,August Storck,August Storck,August Storck,August Storck
4,WERTHER'S,August Storck,August Storck,August Storck,August Storck
5,BRACH'S,Brach's Confections,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers
6,BRADFORD,Bradford Chocolate Factory,Bradford Chocolate Factory,Bradford Chocolate Factory,Bradford Chocolate Factory
7,BROWN & HALEY ALMOND ROCA,Brown & Haley,Brown & Haley,Brown & Haley,Brown & Haley
8,ADAMS DENTYNE FIRE,Cadbury,Cadbury,Cadbury,Cadbury
9,TREBOR ALLAN S-P-KD&SWDSH FISH,Cadbury,Cadbury,Cadbury,Cadbury
10,TREBOR ALLAN SOUR PATCH,Cadbury,Cadbury,Cadbury,Cadbury
11,TREBOR ALLAN SOUR PATCH KIDS,Cadbury,Cadbury,Cadbury,Cadbury
12,TREBOR ALLAN SWEDISH FISH,Cadbury,Cadbury,Cadbury,Cadbury
13,ALTOIDS,Callard & Bowser,Callard & Bowser,Callard & Bowser,Callard & Bowser
14,ALTOIDS SMALLS,Callard & Bowser,Callard & Bowser,Callard & Bowser,Callard & Bowser
15,SMARTIES,Ce De Candy,Ce De Candy,Ce De Candy,Ce De Candy
16,COLOMBINA,Colombina,Colombina,Colombina,Colombina
17,CTL BR,CTL Foods,CTL Foods,CTL Foods,CTL Foods
18,ELMER CANDY CORPORATION-NBL,Elmer Candy Corporation,Elmer Candy Corporation,Elmer Candy Corporation,Elmer Candy Corporation
19,ELMER'S,Elmer Candy Corporation,Elmer Candy Corporation,Elmer Candy Corporation,Elmer Candy Corporation
20,ELMER'S NEW ORLEANS,Elmer Candy Corporation,Elmer Candy Corporation,Elmer Candy Corporation,Elmer Candy Corporation
21,SWEET OCCASION,Elmer Candy Corporation,Elmer Candy Corporation,Elmer Candy Corporation,Elmer Candy Corporation
22,BLACK FOREST,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers
23,BOBS,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers
24,BOBS CANDIES INC-NBL,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers
25,BOBS SWEET STRIPES,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers
26,FARLEY'S,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers
27,HEIDE,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers
28,JUJYFRUITS,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers
29,NOW AND LATER,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers
30,SATHERS,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers
31,TROLLI,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers
32,WASHBURN'S,FB Washburn Candy,FB Washburn Candy,FB Washburn Candy,FB Washburn Candy
33,FERRARA,Ferrara Pan Candy,Ferrara Pan Candy,Ferrara Pan Candy,Ferrara Pan Candy
34,FERRARA PAN,Ferrara Pan Candy,Ferrara Pan Candy,Ferrara Pan Candy,Ferrara Pan Candy
35,FERRERO ROCHER,Ferrero,Ferrero,Ferrero,Ferrero
36,TIC TAC,Ferrero,Ferrero,Ferrero,Ferrero
37,FRANKFORD,Frankford Candy & Chocolate Company,Frankford Candy & Chocolate Company,Frankford Candy & Chocolate Company,Frankford Candy & Chocolate Company
38,FRANKFORD CANDY&CHOCOLATE-NBL,Frankford Candy & Chocolate Company,Frankford Candy & Chocolate Company,Frankford Candy & Chocolate Company,Frankford Candy & Chocolate Company
39,GALERIE-NBL,Galerie Candy and Gifts,Galerie Candy and Gifts,Galerie Candy and Gifts,Galerie Candy and Gifts
40,GOETZE'S,Goetze's Candy Company,Goetze's Candy Company,Goetze's Candy Company,Goetze's Candy Company
41,ARCOR,Grupo Arcor,Grupo Arcor,Grupo Arcor,Grupo Arcor
42,HARIBO,Haribo,Haribo,Haribo,Haribo
43,HARIBO GOLD-BEARS,Haribo,Haribo,Haribo,Haribo
44,CADBURY,Hershey,Hershey,Hershey,Hershey
45,CADBURY CARAMELLO,Hershey,Hershey,Hershey,Hershey
46,CADBURY DAIRY MILK,Hershey,Hershey,Hershey,Hershey
47,CADBURY FRUIT & NUT,Hershey,Hershey,Hershey,Hershey
48,CADBURY ROYAL DARK,Hershey,Hershey,Hershey,Hershey
49,"HERSHEY CHOCOLATE, USA-NBL",Hershey,Hershey,Hershey,Hershey
50,HERSHEY'S,Hershey,Hershey,Hershey,Hershey
51,HERSHEY'S ALL TIME GREATS,Hershey,Hershey,Hershey,Hershey
52,HERSHEY'S ASSORTED,Hershey,Hershey,Hershey,Hershey
53,HERSHEY'S BLISS,Hershey,Hershey,Hershey,Hershey
54,HERSHEY'S CACAO RESERVE,Hershey,Hershey,Hershey,Hershey
55,HERSHEY'S COOKIES N CREME,Hershey,Hershey,Hershey,Hershey
56,HERSHEY'S EXTRA DARK,Hershey,Hershey,Hershey,Hershey
57,HERSHEY'S GOOD & PLENTY,Hershey,Hershey,Hershey,Hershey
