time,price
Apr-00,76.95
May-00,78.26
Jun-00,78.48
Jul-00,78.68
Aug-00,75.13
Sep-00,73.21
Oct-00,76.15
Nov-00,82.46
Dec-00,86.6
1-Jan,85.75
1-Feb,82.31
1-Mar,83.07
1-Apr,84.72
1-May,89.73
1-Jun,95.06
1-Jul,101.98
1-Aug,99.39
1-Sep,99.61
1-Oct,101.79
1-Nov,100.97
1-Dec,102.86
2-Jan,99.27
2-Feb,99.01
2-Mar,98.95
2-Apr,95.82
2-May,97.55
2-Jun,104.11
2-Jul,114.23
2-Aug,120.99
2-Sep,119.75
2-Oct,120.61
2-Nov,120.13
2-Dec,117.19
3-Jan,113.7
3-Feb,114.15
3-Mar,113.65
3-Apr,114.59
3-May,115.5
3-Jun,111.48
3-Jul,96.62
3-Aug,88.07
3-Sep,90.63
3-Oct,95.7
3-Nov,101.64
3-Dec,101.15
4-Jan,98.55
4-Feb,95.57
4-Mar,103.03
4-Apr,112.53
4-May,111.56
4-Jun,114.05
4-Jul,103.97
4-Aug,87.77
4-Sep,85.37
4-Oct,87.89
4-Nov,95.53
4-Dec,92.04
5-Jan,90.71
5-Feb,87.38
5-Mar,94.17
5-Apr,93.33
5-May,88.89
5-Jun,93.44
5-Jul,96.81
5-Aug,98
5-Sep,97.89
5-Oct,98.53
5-Nov,98.76
5-Dec,103.01
6-Jan,103.6
6-Feb,101.13
6-Mar,100.38
6-Apr,102.12
6-May,107.48
6-Jun,106.88
6-Jul,112.1
6-Aug,114.53
6-Sep,115.44
6-Oct,136.6
6-Nov,148.15
6-Dec,150.97
7-Jan,152.13
7-Feb,151.03
7-Mar,157.06
7-Apr,157.12
7-May,161.69
7-Jun,184.45
7-Jul,177.91
7-Aug,158.88
7-Sep,184.66
7-Oct,197.11
7-Nov,187.61
7-Dec,198.93
8-Jan,205.49
8-Feb,216.39
8-Mar,228.63
8-Apr,237.77
8-May,238.41
8-Jun,241.01
8-Jul,248.15
8-Aug,212.25
8-Sep,189.46
8-Oct,143.37
8-Nov,130.09
8-Dec,115.18
9-Jan,121.39
9-Feb,112.53
9-Mar,114.85
9-Apr,111.29
9-May,128.7
9-Jun,148.59
9-Jul,140.31
9-Aug,122.25
9-Sep,103.47
9-Oct,130.65
9-Nov,155.25
9-Dec,150.59
10-Jan,146.54
10-Feb,137.38
10-Mar,146.98
10-Apr,151.71
10-May,143.04
10-Jun,145.93
10-Jul,156.36
10-Aug,161.23
10-Sep,168.12
10-Oct,174.62
10-Nov,179.09
10-Dec,189.64
11-Jan,195.2
11-Feb,196.46
11-Mar,202.57
11-Apr,208.92
11-May,209.37
11-Jun,210.06
11-Jul,215.53
11-Aug,206.09
11-Sep,209.57
11-Oct,208.85
11-Nov,211.46
11-Dec,212.27
12-Jan,210.56
12-Feb,213.4
12-Mar,222.79
12-Apr,237.17
12-May,239.46
12-Jun,236.76
12-Jul,253.38
12-Aug,265.69
12-Sep,256.24
12-Oct,252.91
12-Nov,252.07
12-Dec,242.94
13-Jan,233.32
13-Feb,237
13-Mar,239.75
13-Apr,229.65
13-May,231.49
13-Jun,229.65
13-Jul,214.03
13-Aug,185.1
13-Sep,159.83
13-Oct,155.7
13-Nov,158.92
13-Dec,161.67
14-Jan,167.64
14-Feb,169.94
14-Mar,177.75
14-Apr,181.42
14-May,181.88
14-Jun,160.29
14-Jul,138.71
14-Aug,118.5
14-Sep,105.64
14-Oct,112.07
14-Nov,113.91
14-Dec,123.09
15-Jan,128.14
15-Feb,125.39
15-Mar,126.31
15-Apr,129.06
15-May,126.77
15-Jun,118.96
15-Jul,124.01
15-Aug,110.69
15-Sep,109.77
15-Oct,118.04
15-Nov,119.42
15-Dec,119.42
16-Jan,118.5
16-Feb,114.82
16-Mar,112.99
16-Apr,112.53
16-May,112.07
16-Jun,108.39
16-Jul,107.02
16-Aug,95.53
16-Sep,89.56
16-Oct,91.86
16-Nov,91.86
16-Dec,91.86
17-Jan,91.86
17-Feb,91.86
17-Mar,93.7
17-Apr,94.16
17-May,94.16
17-Jun,94.16
17-Jul,94.16
17-Aug,96.45
17-Sep,96.45
17-Oct,96.45
17-Nov,108.39
17-Dec,119.88
18-Jan,121.71
18-Feb,129.06
18-Mar,130.9
18-Apr,130.9
18-May,130.9
18-Jun,130.9
18-Jul,130.9
18-Aug,127.68
18-Sep,119.42
18-Oct,119.42
18-Nov,119.42
18-Dec,119.42
19-Jan,119.42
19-Feb,119.42
19-Mar,119.42
19-Apr,136.41
19-May,149.27
19-Jun,149.27
19-Jul,149.27
19-Aug,135.03
19-Sep,114.82
19-Oct,114.82
19-Nov,114.82
19-Dec,114.82
20-Jan,114.82
20-Feb,114.82
20-Mar,114.82
