time,price
4/1/2000,76.95
5/1/2000,78.26
6/1/2000,78.48
7/1/2000,78.68
8/1/2000,75.13
9/1/2000,73.21
10/1/2000,76.15
11/1/2000,82.46
12/1/2000,86.6
1/1/2001,85.75
2/1/2001,82.31
3/1/2001,83.07
4/1/2001,84.72
5/1/2001,89.73
6/1/2001,95.06
7/1/2001,101.98
8/1/2001,99.39
9/1/2001,99.61
10/1/2001,101.79
11/1/2001,100.97
12/1/2001,102.86
1/1/2002,99.27
2/1/2002,99.01
3/1/2002,98.95
4/1/2002,95.82
5/1/2002,97.55
6/1/2002,104.11
7/1/2002,114.23
8/1/2002,120.99
9/1/2002,119.75
10/1/2002,120.61
11/1/2002,120.13
12/1/2002,117.19
1/1/2003,113.7
2/1/2003,114.15
3/1/2003,113.65
4/1/2003,114.59
5/1/2003,115.5
6/1/2003,111.48
7/1/2003,96.62
8/1/2003,88.07
9/1/2003,90.63
10/1/2003,95.7
11/1/2003,101.64
12/1/2003,101.15
1/1/2004,98.55
2/1/2004,95.57
3/1/2004,103.03
4/1/2004,112.53
5/1/2004,111.56
6/1/2004,114.05
7/1/2004,103.97
8/1/2004,87.77
9/1/2004,85.37
10/1/2004,87.89
11/1/2004,95.53
12/1/2004,92.04
1/1/2005,90.71
2/1/2005,87.38
3/1/2005,94.17
4/1/2005,93.33
5/1/2005,88.89
6/1/2005,93.44
7/1/2005,96.81
8/1/2005,98
9/1/2005,97.89
10/1/2005,98.53
11/1/2005,98.76
12/1/2005,103.01
1/1/2006,103.6
2/1/2006,101.13
3/1/2006,100.38
4/1/2006,102.12
5/1/2006,107.48
6/1/2006,106.88
7/1/2006,112.1
8/1/2006,114.53
9/1/2006,115.44
10/1/2006,136.6
11/1/2006,148.15
12/1/2006,150.97
1/1/2007,152.13
2/1/2007,151.03
3/1/2007,157.06
4/1/2007,157.12
5/1/2007,161.69
6/1/2007,184.45
7/1/2007,177.91
8/1/2007,158.88
9/1/2007,184.66
10/1/2007,197.11
11/1/2007,187.61
12/1/2007,198.93
1/1/2008,205.49
2/1/2008,216.39
3/1/2008,228.63
4/1/2008,237.77
5/1/2008,238.41
6/1/2008,241.01
7/1/2008,248.15
8/1/2008,212.25
9/1/2008,189.46
10/1/2008,143.37
11/1/2008,130.09
12/1/2008,115.18
1/1/2009,121.39
2/1/2009,112.53
3/1/2009,114.85
4/1/2009,111.29
5/1/2009,128.7
6/1/2009,148.59
7/1/2009,140.31
8/1/2009,122.25
9/1/2009,103.47
10/1/2009,130.65
11/1/2009,155.25
12/1/2009,150.59
1/1/2010,146.54
2/1/2010,137.38
3/1/2010,146.98
4/1/2010,151.71
5/1/2010,143.04
6/1/2010,145.93
7/1/2010,156.36
8/1/2010,161.23
9/1/2010,168.12
10/1/2010,174.62
11/1/2010,179.09
12/1/2010,189.64
1/1/2011,195.2
2/1/2011,196.46
3/1/2011,202.57
4/1/2011,208.92
5/1/2011,209.37
6/1/2011,210.06
7/1/2011,215.53
8/1/2011,206.09
9/1/2011,209.57
10/1/2011,208.85
11/1/2011,211.46
12/1/2011,212.27
1/1/2012,210.56
2/1/2012,213.4
3/1/2012,222.79
4/1/2012,237.17
5/1/2012,239.46
6/1/2012,236.76
7/1/2012,253.38
8/1/2012,265.69
9/1/2012,256.24
10/1/2012,252.91
11/1/2012,252.07
12/1/2012,242.94
1/1/2013,233.32
2/1/2013,237
3/1/2013,239.75
4/1/2013,229.65
5/1/2013,231.49
6/1/2013,229.65
7/1/2013,214.03
8/1/2013,185.1
9/1/2013,159.83
10/1/2013,155.7
11/1/2013,158.92
12/1/2013,161.67
1/1/2014,167.64
2/1/2014,169.94
3/1/2014,177.75
4/1/2014,181.42
5/1/2014,181.88
6/1/2014,160.29
7/1/2014,138.71
8/1/2014,118.5
9/1/2014,105.64
10/1/2014,112.07
11/1/2014,113.91
12/1/2014,123.09
1/1/2015,128.14
2/1/2015,125.39
3/1/2015,126.31
4/1/2015,129.06
5/1/2015,126.77
6/1/2015,118.96
7/1/2015,124.01
8/1/2015,110.69
9/1/2015,109.77
10/1/2015,118.04
11/1/2015,119.42
12/1/2015,119.42
1/1/2016,118.5
2/1/2016,114.82
3/1/2016,112.99
4/1/2016,112.53
5/1/2016,112.07
6/1/2016,108.39
7/1/2016,107.02
8/1/2016,95.53
9/1/2016,89.56
10/1/2016,91.86
11/1/2016,91.86
12/1/2016,91.86
1/1/2017,91.86
2/1/2017,91.86
3/1/2017,93.7
4/1/2017,94.16
5/1/2017,94.16
6/1/2017,94.16
7/1/2017,94.16
8/1/2017,96.45
9/1/2017,96.45
10/1/2017,96.45
11/1/2017,108.39
12/1/2017,119.88
1/1/2018,121.71
2/1/2018,129.06
3/1/2018,130.9
4/1/2018,130.9
5/1/2018,130.9
6/1/2018,130.9
7/1/2018,130.9
8/1/2018,127.68
9/1/2018,119.42
10/1/2018,119.42
11/1/2018,119.42
12/1/2018,119.42
1/1/2019,119.42
2/1/2019,119.42
3/1/2019,119.42
4/1/2019,136.41
5/1/2019,149.27
6/1/2019,149.27
7/1/2019,149.27
8/1/2019,135.03
9/1/2019,114.82
10/1/2019,114.82
11/1/2019,114.82
12/1/2019,114.82
1/1/2020,114.82
2/1/2020,114.82
3/1/2020,114.82
