time,price
04/01/00,76.95
05/01/00,78.26
06/01/00,78.48
07/01/00,78.68
08/01/00,75.13
09/01/00,73.21
10/01/00,76.15
11/01/00,82.46
12/01/00,86.6
01/01/01,85.75
02/01/01,82.31
03/01/01,83.07
04/01/01,84.72
05/01/01,89.73
06/01/01,95.06
07/01/01,101.98
08/01/01,99.39
09/01/01,99.61
10/01/01,101.79
11/01/01,100.97
12/01/01,102.86
01/01/02,99.27
02/01/02,99.01
03/01/02,98.95
04/01/02,95.82
05/01/02,97.55
06/01/02,104.11
07/01/02,114.23
08/01/02,120.99
09/01/02,119.75
10/01/02,120.61
11/01/02,120.13
12/01/02,117.19
01/01/03,113.7
02/01/03,114.15
03/01/03,113.65
04/01/03,114.59
05/01/03,115.5
06/01/03,111.48
07/01/03,96.62
08/01/03,88.07
09/01/03,90.63
10/01/03,95.7
11/01/03,101.64
12/01/03,101.15
01/01/04,98.55
02/01/04,95.57
03/01/04,103.03
04/01/04,112.53
05/01/04,111.56
06/01/04,114.05
07/01/04,103.97
08/01/04,87.77
09/01/04,85.37
10/01/04,87.89
11/01/04,95.53
12/01/04,92.04
01/01/05,90.71
02/01/05,87.38
03/01/05,94.17
04/01/05,93.33
05/01/05,88.89
06/01/05,93.44
07/01/05,96.81
08/01/05,98
09/01/05,97.89
10/01/05,98.53
11/01/05,98.76
12/01/05,103.01
01/01/06,103.6
02/01/06,101.13
03/01/06,100.38
04/01/06,102.12
05/01/06,107.48
06/01/06,106.88
07/01/06,112.1
08/01/06,114.53
09/01/06,115.44
10/01/06,136.6
11/01/06,148.15
12/01/06,150.97
01/01/07,152.13
02/01/07,151.03
03/01/07,157.06
04/01/07,157.12
05/01/07,161.69
06/01/07,184.45
07/01/07,177.91
08/01/07,158.88
09/01/07,184.66
10/01/07,197.11
11/01/07,187.61
12/01/07,198.93
01/01/08,205.49
02/01/08,216.39
03/01/08,228.63
04/01/08,237.77
05/01/08,238.41
06/01/08,241.01
07/01/08,248.15
08/01/08,212.25
09/01/08,189.46
10/01/08,143.37
11/01/08,130.09
12/01/08,115.18
01/01/09,121.39
02/01/09,112.53
03/01/09,114.85
04/01/09,111.29
05/01/09,128.7
06/01/09,148.59
07/01/09,140.31
08/01/09,122.25
09/01/09,103.47
10/01/09,130.65
11/01/09,155.25
12/01/09,150.59
01/01/10,146.54
02/01/10,137.38
03/01/10,146.98
04/01/10,151.71
05/01/10,143.04
06/01/10,145.93
07/01/10,156.36
08/01/10,161.23
09/01/10,168.12
10/01/10,174.62
11/01/10,179.09
12/01/10,189.64
01/01/11,195.2
02/01/11,196.46
03/01/11,202.57
04/01/11,208.92
05/01/11,209.37
06/01/11,210.06
07/01/11,215.53
08/01/11,206.09
09/01/11,209.57
10/01/11,208.85
11/01/11,211.46
12/01/11,212.27
01/01/12,210.56
02/01/12,213.4
03/01/12,222.79
04/01/12,237.17
05/01/12,239.46
06/01/12,236.76
07/01/12,253.38
08/01/12,265.69
09/01/12,256.24
10/01/12,252.91
11/01/12,252.07
12/01/12,242.94
01/01/13,233.32
02/01/13,237
03/01/13,239.75
04/01/13,229.65
05/01/13,231.49
06/01/13,229.65
07/01/13,214.03
08/01/13,185.1
09/01/13,159.83
10/01/13,155.7
11/01/13,158.92
12/01/13,161.67
01/01/14,167.64
02/01/14,169.94
03/01/14,177.75
04/01/14,181.42
05/01/14,181.88
06/01/14,160.29
07/01/14,138.71
08/01/14,118.5
09/01/14,105.64
10/01/14,112.07
11/01/14,113.91
12/01/14,123.09
01/01/15,128.14
02/01/15,125.39
03/01/15,126.31
04/01/15,129.06
05/01/15,126.77
06/01/15,118.96
07/01/15,124.01
08/01/15,110.69
09/01/15,109.77
10/01/15,118.04
11/01/15,119.42
12/01/15,119.42
01/01/16,118.5
02/01/16,114.82
03/01/16,112.99
04/01/16,112.53
05/01/16,112.07
06/01/16,108.39
07/01/16,107.02
08/01/16,95.53
09/01/16,89.56
10/01/16,91.86
11/01/16,91.86
12/01/16,91.86
01/01/17,91.86
02/01/17,91.86
03/01/17,93.7
04/01/17,94.16
05/01/17,94.16
06/01/17,94.16
07/01/17,94.16
08/01/17,96.45
09/01/17,96.45
10/01/17,96.45
11/01/17,108.39
12/01/17,119.88
01/01/18,121.71
02/01/18,129.06
03/01/18,130.9
04/01/18,130.9
05/01/18,130.9
06/01/18,130.9
07/01/18,130.9
08/01/18,127.68
09/01/18,119.42
10/01/18,119.42
11/01/18,119.42
12/01/18,119.42
01/01/19,119.42
02/01/19,119.42
03/01/19,119.42
04/01/19,136.41
05/01/19,149.27
06/01/19,149.27
07/01/19,149.27
08/01/19,135.03
09/01/19,114.82
10/01/19,114.82
11/01/19,114.82
12/01/19,114.82
01/01/20,114.82
02/01/20,114.82
03/01/20,114.82
