DateAnnounced,DateEffective,TargetName,TargetPrimarySICCode,TargetIndustrySector,TargetState,TargetNation,AcquirorName,AcquirorIndustrySector,AcquirorPrimarySICCode,AcquirorState,AcquirorNation,Synopsis,Status,ofSharesAcq,OwnedAfterTransaction,sought,ValueofTransactionmil,MasterDealType,DealNumber,yr,TargetBrand,AcquirorBrand,,,
16-Sep-15,4-Oct-16,SABMiller PLC,2082,Food and Kindred Products,Foreign,United Kingdom,Anheuser-Busch Inbev SA/NV,Food and Kindred Products,2082,New York,United States,"UK - Anheuser-Busch Inbev (Anheuser-Busch) of Belgium acquired the entire share capital of SABMiller PLC (SABMiller), a London-based malt beverages merchant wholesaler, from Altria Group Inc (26.8%) and BevCo Ltd (14%) and other sellers, for a thrice sweetened GBP 4.659 (USD 6.121) in cash and 0.484 Anheuser-Busch ordinary share per SABMiller share, or a total value of GBP 77.238 bil (USD 101.476 bil), in a stock swap transaction via a scheme of arrangement, whereby the share alternative was in respect to 41% of SABMiller's share capital. Anheuser-Busch offered a choice of GBP 45 (USD 59.121) in cash per share or a total value of GBP 72.86 bil (USD 95.723 bil). Previously, Anheuser-Busch offered GBP 44 (USD 67.492), GBP 43.5 (USD 66.620), GBP 38 (USD 57.855), GBP 40 (USD 60. 9) in cash per share and a choice of GBP 3.779 (USD 5. 797), GBP 3.56 (USD 5.452), GBP 2.37 (USD 3.608) in cash per share and 0.484 Anheuser- Busch per SABMiller ordinary share. Anheuser-Busch received irrevocable undertakings to accept the offer with respect to 40.45% of SABmiller's share capital. Originally, in September 2014, Anheuser-Busch was rumored to be planning to acquire SABMiller. Upon completion, SABMiller is delisted from stock London stock exchange.",Completed,100,100,100,101475.793,IMA,2675324040,2016,"Fosters, Miller, Pilsner Urquell",,"Delta Corporation Zimbabwe is a brand of SABMiller PLC, but dataset contains a lot of delta that doesn't seem to be the same thing",miller sold to others as required by regulators before the forming of the new company,SABMiller was one of the world's largest Coca-Cola bottlers (should Coca-Cola counts?)
26-Jan-09,15-Oct-09,Wyeth,2834,Drugs,New Jersey,United States,Pfizer Inc,Drugs,2834,New York,United States,"US - Pfizer Inc (Pfizer) acquired the entire share capital of Wyeth (Wyeth), a Madison-based manufacturer and wholesaler of pharmaceuticals, in a transaction valued at USD 67. 286 bil. Pfizer offered USD 33 in cash and 0.985 common share per WY share. Based on Pfizer's closing stock price of USD 17.45 on 23 January 2009, the last full trading day prior to the announcement, each Wyeth share was valued at USD 17.188. Originally, Pfizer was rumored to be planning to acquire all the outstanding common stock of Wyeth.",Completed,100,100,100,67285.695,MA,2044727020,2009,,,,,
12-Oct-15,7-Sep-16,EMC Corp,3572,Computer and Office Equipment,Massachusetts,United States,Dell Inc,Computer and Office Equipment,3571,Texas,United States,"US - Dell Inc (Dell) merged with of EMC Corp (EMC), a Hopkinton-based provider of storage platforms development services, for USD 66 bil. Dell offered USD 24.05 in cash and 0.111 VMware Inc tracking shares per EMC share. Based on VMware's closing stock price of USD 78.65 on 9 October 2015, the last full trading day prior to the announcement, each EMC share was valued at USD 32.78. The merged entity was renamed as Dell Technologies. Originally, in September 2014, EMC was rumored to be seeking a buyer for the company. Hewlett- Packard Co, Dell Inc and Silver Lake were named rumored bidders.",Completed,100,100,100,65999.778,MA,2678114020,2016,,,,,
11-Jun-08,18-Nov-08,Anheuser-Busch Cos Inc,2082,Food and Kindred Products,Missouri,United States,InBev NV,Food and Kindred Products,2082,Foreign,Belgium,"US - InBev NV (IB), a 52.96% owned unit of Stichting Interbrew SA, acquired all the outstanding common stock of Anheuser-Busch Cos Inc (AB) , a producer and wholesaler of malt beverages, for a sweetened $70 in cash per share, or a total value of $52.178 bil. Originally, IB offered $65 in cash per share, or a total value of $48.11 bil. On completion, IB was renamed Anheuser-Busch Inbev. The transaction had been approved by shareholders and regulatory authorities. Previously, in February 2007, IB was rumored to be planning to merge with AB.",Completed,100,100,100,52177.662,MA,1840969020,2008,,,,,
25-Mar-15,2-Jul-15,Kraft Foods Group Inc,2099,Food and Kindred Products,Illinois,United States,Hj Heinz Co,Food and Kindred Products,2035,Pennsylvania,United States,"US - HJ Heinz Co (Heinz), jointly owned by Berkshire Hathaway Inc and 3G Capital Partners Ltd (3G Capital), merged with Kraft Foods Group Inc (Kraft), a Northfield- based producer and wholesaler of packaged food products, in a stock swap transaction valued at USD 46.106 bil. Heinz offered USD 36.331 bil in shares, based on Kraft's market capitalization on the last full trading day prior to the announcement, and USD 9.775 bil in cash dividends. On completion, the merged entity was named The Kraft Heinz Co and Heinz and Kraft shareholders owned 51% and 49%, respectively. Originally, in March 2015, 3G Capital was rumored to be planning to acquire the entire share capital of Kraft. This transaction is Tax-Exempt under IRC s386.",Completed,100,100,100,46105.535,MA,2736521020,2015,,,,,
11-Jul-14,12-Jun-15,Lorillard Inc,2111,Tobacco Products,North Carolina,United States,Reynolds American Inc,Tobacco Products,2111,North Carolina,United States,"US - Reynolds American Inc (Reynolds) acquire the entire share capital of Lorillard Inc (Lorillard), a Greensboro- based producer and wholesaler of cigarettes, for USD 27.4 bil. Reynolds offered USD 50. 50 in cash and 0.2909 in common share per Lorillard, and the assumption of USD 2. 348 bil in liabilities. Based on Reynolds' closing stock price of USD 63.18 on 14 July 2014, the last full trading day prior to the announcement, each Lorillard share was valued at USD 68.879. Concurrently, Imperial Tobacco Group PLC acquired brands and other assets of Reynolds and certain assets of Lorillard Inc. Additionally, British American Tobacco PLC acquired undisclosed minority stake in Reynolds.",Completed,100,100,100,27400,MA,2614332020,2015,,,,,
13-Jun-16,8-Dec-16,LinkedIn Corp,7375,Business Services,California,United States,Microsoft Corp,Prepackaged Software,7372,Washington,United States,"US - Microsoft Corp (Microsoft) acquired the entire share capital of LinkedIn Corp (LinkedIn), a Mountain View-based provider of online networking services, for USD 196 in cash per share, or a total value of USD 26.639 bil. Originally, in April 2016, Microsoft was rumored to be planning to acquire LinkedIn.",Completed,100,100,100,26638.847,MA,2955022020,2016,,,,,
28-Apr-08,6-Oct-08,William Wrigley Jr Co,2067,Food and Kindred Products,Illinois,United States,Mars Inc,Food and Kindred Products,2064,Virginia,United States,"US - Mars Inc acquired all the outstanding common stock of William Wrigley Jr Co, a producer and wholesaler of chewing gum, for $80 in cash per share, or a total value of $22.361 bil. The transaction, which has received board approval, had been subject to customary closing conditions, regulatory and shareholder approvals.",Completed,100,100,100,22361.2,MA,1973045020,2008,,,,,
18-Apr-11,14-Jun-12,Synthes Inc,3842,"Measuring, Medical, Photo Equipment; Clocks",Pennsylvania,United States,J&J,Drugs,2834,New Jersey,United States,"US - Johnson & Johnson (Johnson) acquired the entire share capital of Synthes Inc (Synthes), a Solothurn-based manufacturer and wholesaler of medical devices, in an amended stock swap transaction valued at USD 20. 098 bil. Johnson offered USD 58.248 in cash and 1.717 common shares per Synthes share. Previously, Johnson offered USD 63.6 in cash and 0.9672 shares per Synthes common share, subject to a collar agreement, whereby if Johnson's closing stock price was less than USD 58.606, the exchange ratio would be fixed at 1.9672; if the closing stock price was greater than USD 67.429 the exchange ratio would be fixed at 1.7098. Based on Johnson's closing stock price of USD 64.45 on 23 June 2012, the last full trading day prior to the amendment of terms, each CB share was valued at USD 168. 909. Originally, in April 2011, Johnson was rumored to be planning to acquire Synthes.",Completed,100,100,100,20097.788,MA,2301120020,2012,,,,,
7-Sep-09,16-Apr-10,Cadbury PLC,2064,Food and Kindred Products,Foreign,United Kingdom,Kraft Foods Inc,Food and Kindred Products,2099,Illinois,United States,"UK - Kraft Foods Inc (Kraft) of the US completed its tender offer to acquire the entire ordinary share capital of Cadbury PLC (Cadbury), a London-based producer and wholesaler of chocolates, in a stock swap transaction, valued at GBP 11.469 bil (USD 18.769 bil). Kraft offered a sweetened GBP 5 (USD 8.183) in cash and 0.1874 new shares per Cadbury share. Based on Kraft's closing stock price of GBP 18.102 (USD 29.58) on 18 January 2010, the last full trading day prior to the announcement of the sweetened terms, each Cadbury share was valued at GBP 8.392 (USD 13. 733). Previously, Kraft offered GBP 3 (USD 4.90) in cash and 0.2589 shares per CP share. The transaction was conditioned upon at least 50% plus one share of Cadbury's shares being tendered.",Completed,100,100,100,18768.518,IMA,2105747040,2010,,,,,
