,t,Price,Change
0,1990-02-01,0.32,-
1,1990-03-01,0.34,0.0625
2,1990-04-01,0.34,0
3,1990-05-01,0.32,-0.0588
4,1990-06-01,0.29,-0.0938
5,1990-07-01,0.26,-0.1034
6,1990-08-01,0.24,-0.0769
7,1990-09-01,0.24,0
8,1990-10-01,0.22,-0.0833
9,1990-11-01,0.22,0
10,1990-12-01,0.21,-0.0455
11,1991-01-01,0.19,-0.0952
12,1991-02-01,0.19,0
13,1991-03-01,0.2,0.0526
14,1991-04-01,0.19,-0.05
15,1991-05-01,0.17,-0.1053
16,1991-06-01,0.2,0.1765
17,1991-07-01,0.23,0.15
18,1991-08-01,0.21,-0.087
19,1991-09-01,0.2,-0.0476
20,1991-10-01,0.2,0
21,1991-11-01,0.19,-0.05
22,1991-12-01,0.2,0.0526
23,1992-01-01,0.18,-0.1
24,1992-02-01,0.17,-0.0556
25,1992-03-01,0.18,0.0588
26,1992-04-01,0.21,0.1667
27,1992-05-01,0.21,0
28,1992-06-01,0.23,0.0952
29,1992-07-01,0.23,0
30,1992-08-01,0.22,-0.0435
31,1992-09-01,0.21,-0.0455
32,1992-10-01,0.19,-0.0952
33,1992-11-01,0.19,0
34,1992-12-01,0.18,-0.0526
35,1993-01-01,0.18,0
36,1993-02-01,0.19,0.0556
37,1993-03-01,0.23,0.2105
38,1993-04-01,0.25,0.087
39,1993-05-01,0.26,0.04
40,1993-06-01,0.23,-0.1154
41,1993-07-01,0.21,-0.087
42,1993-08-01,0.21,0
43,1993-09-01,0.21,0
44,1993-10-01,0.23,0.0952
45,1993-11-01,0.22,-0.0435
46,1993-12-01,0.23,0.0455
47,1994-01-01,0.23,0
48,1994-02-01,0.24,0.0435
49,1994-03-01,0.26,0.0833
50,1994-04-01,0.24,-0.0769
51,1994-05-01,0.26,0.0833
52,1994-06-01,0.27,0.0385
53,1994-07-01,0.26,-0.037
54,1994-08-01,0.27,0.0385
55,1994-09-01,0.28,0.037
56,1994-10-01,0.28,0
57,1994-11-01,0.31,0.1071
58,1994-12-01,0.32,0.0323
59,1995-01-01,0.33,0.0313
60,1995-02-01,0.32,-0.0303
61,1995-03-01,0.32,0
62,1995-04-01,0.3,-0.0625
63,1995-05-01,0.3,0
64,1995-06-01,0.31,0.0333
65,1995-07-01,0.3,-0.0323
66,1995-08-01,0.29,-0.0333
67,1995-09-01,0.26,-0.1034
68,1995-10-01,0.26,0
69,1995-11-01,0.26,0
70,1995-12-01,0.27,0.0385
71,1996-01-01,0.28,0.037
72,1996-02-01,0.28,0
73,1996-03-01,0.28,0
74,1996-04-01,0.26,-0.0714
75,1996-05-01,0.25,-0.0385
76,1996-06-01,0.27,0.08
77,1996-07-01,0.28,0.037
78,1996-08-01,0.27,-0.0357
79,1996-09-01,0.26,-0.037
80,1996-10-01,0.25,-0.0385
81,1996-11-01,0.24,-0.04
82,1996-12-01,0.24,0
83,1997-01-01,0.24,0
84,1997-02-01,0.24,0
85,1997-03-01,0.24,0
86,1997-04-01,0.25,0.0417
87,1997-05-01,0.24,-0.04
88,1997-06-01,0.25,0.0417
89,1997-07-01,0.25,0
90,1997-08-01,0.26,0.04
91,1997-09-01,0.25,-0.0385
92,1997-10-01,0.25,0
93,1997-11-01,0.26,0.04
94,1997-12-01,0.27,0.0385
95,1998-01-01,0.25,-0.0741
96,1998-02-01,0.24,-0.04
97,1998-03-01,0.22,-0.0833
98,1998-04-01,0.21,-0.0455
99,1998-05-01,0.2,-0.0476
100,1998-06-01,0.18,-0.1
101,1998-07-01,0.19,0.0556
102,1998-08-01,0.19,0
103,1998-09-01,0.16,-0.1579
104,1998-10-01,0.16,0
105,1998-11-01,0.18,0.125
106,1998-12-01,0.18,0
107,1999-01-01,0.18,0
108,1999-02-01,0.15,-0.1667
109,1999-03-01,0.13,-0.1333
110,1999-04-01,0.12,-0.0769
111,1999-05-01,0.13,0.0833
112,1999-06-01,0.13,0
113,1999-07-01,0.12,-0.0769
114,1999-08-01,0.13,0.0833
115,1999-09-01,0.15,0.1538
116,1999-10-01,0.15,0
117,1999-11-01,0.14,-0.0667
118,1999-12-01,0.13,-0.0714
119,2000-01-01,0.12,-0.0769
120,2000-02-01,0.12,0
121,2000-03-01,0.11,-0.0833
122,2000-04-01,0.13,0.1818
123,2000-05-01,0.15,0.1538
124,2000-06-01,0.18,0.2
125,2000-07-01,0.21,0.1667
126,2000-08-01,0.23,0.0952
127,2000-09-01,0.22,-0.0435
128,2000-10-01,0.24,0.0909
129,2000-11-01,0.22,-0.0833
130,2000-12-01,0.22,0
131,2001-01-01,0.23,0.0455
132,2001-02-01,0.22,-0.0435
133,2001-03-01,0.2,-0.0909
134,2001-04-01,0.19,-0.05
135,2001-05-01,0.21,0.1053
136,2001-06-01,0.2,-0.0476
137,2001-07-01,0.19,-0.05
138,2001-08-01,0.18,-0.0526
139,2001-09-01,0.17,-0.0556
140,2001-10-01,0.15,-0.1176
141,2001-11-01,0.17,0.1333
142,2001-12-01,0.17,0
143,2002-01-01,0.17,0
144,2002-02-01,0.14,-0.1765
145,2002-03-01,0.15,0.0714
146,2002-04-01,0.15,0
147,2002-05-01,0.13,-0.1333
148,2002-06-01,0.13,0
149,2002-07-01,0.14,0.0769
150,2002-08-01,0.14,0
151,2002-09-01,0.15,0.0714
152,2002-10-01,0.17,0.1333
153,2002-11-01,0.17,0
154,2002-12-01,0.18,0.0588
155,2003-01-01,0.18,0
156,2003-02-01,0.2,0.1111
157,2003-03-01,0.18,-0.1
158,2003-04-01,0.17,-0.0556
159,2003-05-01,0.16,-0.0588
160,2003-06-01,0.15,-0.0625
161,2003-07-01,0.15,0
162,2003-08-01,0.15,0
163,2003-09-01,0.13,-0.1333
164,2003-10-01,0.13,0
165,2003-11-01,0.13,0
166,2003-12-01,0.14,0.0769
167,2004-01-01,0.13,-0.0714
168,2004-02-01,0.13,0
169,2004-03-01,0.14,0.0769
170,2004-04-01,0.15,0.0714
171,2004-05-01,0.14,-0.0667
172,2004-06-01,0.15,0.0714
173,2004-07-01,0.17,0.1333
174,2004-08-01,0.17,0
175,2004-09-01,0.17,0
176,2004-10-01,0.19,0.1176
177,2004-11-01,0.18,-0.0526
178,2004-12-01,0.18,0
179,2005-01-01,0.19,0.0556
180,2005-02-01,0.2,0.0526
181,2005-03-01,0.2,0
182,2005-04-01,0.19,-0.05
183,2005-05-01,0.19,0
184,2005-06-01,0.2,0.0526
185,2005-07-01,0.21,0.05
186,2005-08-01,0.22,0.0476
187,2005-09-01,0.23,0.0455
188,2005-10-01,0.25,0.087
189,2005-11-01,0.25,0
190,2005-12-01,0.29,0.16
191,2006-01-01,0.35,0.2069
192,2006-02-01,0.4,0.1429
193,2006-03-01,0.38,-0.05
194,2006-04-01,0.39,0.0263
195,2006-05-01,0.37,-0.0513
196,2006-06-01,0.34,-0.0811
197,2006-07-01,0.35,0.0294
198,2006-08-01,0.3,-0.1429
199,2006-09-01,0.27,-0.1
200,2006-10-01,0.26,-0.037
201,2006-11-01,0.26,0
202,2006-12-01,0.26,0
203,2007-01-01,0.24,-0.0769
204,2007-02-01,0.23,-0.0417
205,2007-03-01,0.23,0
206,2007-04-01,0.21,-0.087
207,2007-05-01,0.21,0
208,2007-06-01,0.2,-0.0476
209,2007-07-01,0.22,0.1
210,2007-08-01,0.22,0
211,2007-09-01,0.22,0
212,2007-10-01,0.22,0
213,2007-11-01,0.22,0
214,2007-12-01,0.24,0.0909
215,2008-01-01,0.26,0.0833
216,2008-02-01,0.3,0.1538
217,2008-03-01,0.29,-0.0333
218,2008-04-01,0.28,-0.0345
219,2008-05-01,0.27,-0.0357
220,2008-06-01,0.27,0
221,2008-07-01,0.31,0.1481
222,2008-08-01,0.32,0.0323
223,2008-09-01,0.3,-0.0625
224,2008-10-01,0.26,-0.1333
225,2008-11-01,0.27,0.0385
226,2008-12-01,0.26,-0.037
227,2009-01-01,0.28,0.0769
228,2009-02-01,0.29,0.0357
229,2009-03-01,0.3,0.0345
230,2009-04-01,0.3,0
231,2009-05-01,0.35,0.1667
232,2009-06-01,0.36,0.0286
233,2009-07-01,0.41,0.1389
234,2009-08-01,0.49,0.1951
235,2009-09-01,0.51,0.0408
236,2009-10-01,0.5,-0.0196
237,2009-11-01,0.49,-0.02
238,2009-12-01,0.52,0.0612
239,2010-01-01,0.58,0.1154
240,2010-02-01,0.56,-0.0345
241,2010-03-01,0.41,-0.2679
242,2010-04-01,0.36,-0.122
243,2010-05-01,0.34,-0.0556
244,2010-06-01,0.35,0.0294
245,2010-07-01,0.38,0.0857
246,2010-08-01,0.41,0.0789
247,2010-09-01,0.5,0.2195
248,2010-10-01,0.54,0.08
249,2010-11-01,0.58,0.0741
250,2010-12-01,0.62,0.069
251,2011-01-01,0.65,0.0484
252,2011-02-01,0.65,0
253,2011-03-01,0.58,-0.1077
254,2011-04-01,0.54,-0.069
255,2011-05-01,0.48,-0.1111
256,2011-06-01,0.56,0.1667
257,2011-07-01,0.62,0.1071
258,2011-08-01,0.61,-0.0161
259,2011-09-01,0.59,-0.0328
260,2011-10-01,0.56,-0.0508
261,2011-11-01,0.53,-0.0536
262,2011-12-01,0.51,-0.0377
263,2012-01-01,0.52,0.0196
264,2012-02-01,0.53,0.0192
265,2012-03-01,0.53,0
266,2012-04-01,0.5,-0.0566
267,2012-05-01,0.46,-0.08
268,2012-06-01,0.45,-0.0217
269,2012-07-01,0.5,0.1111
270,2012-08-01,0.46,-0.08
271,2012-09-01,0.44,-0.0435
272,2012-10-01,0.45,0.0227
273,2012-11-01,0.43,-0.0444
274,2012-12-01,0.43,0
275,2013-01-01,0.42,-0.0233
276,2013-02-01,0.4,-0.0476
277,2013-03-01,0.41,0.025
278,2013-04-01,0.39,-0.0488
279,2013-05-01,0.39,0
280,2013-06-01,0.38,-0.0256
281,2013-07-01,0.37,-0.0263
282,2013-08-01,0.38,0.027
283,2013-09-01,0.38,0
284,2013-10-01,0.41,0.0789
285,2013-11-01,0.39,-0.0488
286,2013-12-01,0.36,-0.0769
287,2014-01-01,0.34,-0.0556
288,2014-02-01,0.37,0.0882
289,2014-03-01,0.39,0.0541
290,2014-04-01,0.39,0
291,2014-05-01,0.4,0.0256
292,2014-06-01,0.4,0
293,2014-07-01,0.4,0
294,2014-08-01,0.38,-0.05
295,2014-09-01,0.35,-0.0789
296,2014-10-01,0.37,0.0571
297,2014-11-01,0.36,-0.027
298,2014-12-01,0.34,-0.0556
299,2015-01-01,0.34,0
300,2015-02-01,0.32,-0.0588
301,2015-03-01,0.29,-0.0938
302,2015-04-01,0.29,-0.0056
303,2015-05-01,0.29,0.0057
304,2015-06-01,0.27,-0.069
305,2015-07-01,0.28,0.037
306,2015-08-01,0.25,-0.1071
307,2015-09-01,0.26,0.04
308,2015-10-01,0.31,0.1923
309,2015-11-01,0.32,0.0323
310,2015-12-01,0.32,0
311,2016-01-01,0.31,-0.0312
312,2016-02-01,0.29,-0.0645
313,2016-03-01,0.34,0.1724
314,2016-04-01,0.34,0
315,2016-05-01,0.38,0.1176
316,2016-06-01,0.43,0.1316
317,2016-07-01,0.43,0
318,2016-08-01,0.44,0.0233
319,2016-09-01,0.47,0.0682
320,2016-10-01,0.49,0.0426
321,2016-11-01,0.45,-0.0816
322,2016-12-01,0.41,-0.0889
323,2017-01-01,0.45,0.0976
324,2017-02-01,0.45,0
325,2017-03-01,0.4,-0.1111
326,2017-04-01,0.36,-0.1
327,2017-05-01,0.35,-0.0278
328,2017-06-01,0.31,-0.1143
329,2017-07-01,0.32,0.0323
330,2017-08-01,0.32,0
331,2017-09-01,0.32,0
332,2017-10-01,0.32,0
333,2017-11-01,0.33,0.0313
334,2017-12-01,0.32,-0.0303
335,2018-01-01,0.31,-0.0312
336,2018-02-01,0.3,-0.0323
337,2018-03-01,0.28,-0.0667
338,2018-04-01,0.27,-0.0357
339,2018-05-01,0.27,0
340,2018-06-01,0.28,0.037
341,2018-07-01,0.26,-0.0714
342,2018-08-01,0.24,-0.0769
343,2018-09-01,0.25,0.0417
344,2018-10-01,0.29,0.16
345,2018-11-01,0.28,-0.0345
346,2018-12-01,0.28,0
347,2019-01-01,0.28,0
348,2019-02-01,0.29,0.0357
349,2019-03-01,0.28,-0.0345
350,2019-04-01,0.28,0
351,2019-05-01,0.27,-0.0357
352,2019-06-01,0.28,0.037
353,2019-07-01,0.28,0
354,2019-08-01,0.27,-0.0357
355,2019-09-01,0.26,-0.037
356,2019-10-01,0.28,0.0769
357,2019-11-01,0.28,0
358,2019-12-01,0.3,0.0714
359,2020-01-01,0.31,0.0333
