,t,Price
0,7/1/1959,1.964
1,7/2/1959,1.9709999999999999
2,7/6/1959,1.97
3,7/7/1959,1.9709999999999999
4,7/8/1959,1.964
5,7/9/1959,1.955
6,7/10/1959,1.956
7,7/13/1959,1.9609999999999999
8,7/14/1959,1.955
9,7/15/1959,1.953
10,7/16/1959,1.9509999999999998
11,7/17/1959,1.944
12,7/20/1959,1.954
13,7/21/1959,1.9469999999999998
14,7/22/1959,1.945
15,7/23/1959,1.942
16,7/24/1959,1.944
17,7/27/1959,1.953
18,7/28/1959,1.945
19,7/29/1959,1.945
20,7/30/1959,1.95
21,7/31/1959,1.962
22,8/3/1959,1.956
23,8/4/1959,1.9669999999999999
24,8/5/1959,1.956
25,8/6/1959,1.953
26,8/7/1959,1.953
27,8/10/1959,1.955
28,8/11/1959,1.96
29,8/12/1959,1.954
30,8/13/1959,1.9509999999999998
31,8/14/1959,1.954
32,8/17/1959,1.955
33,8/18/1959,1.952
34,8/19/1959,1.955
35,8/20/1959,1.953
36,8/21/1959,1.953
37,8/24/1959,1.9709999999999999
38,8/25/1959,1.9669999999999999
39,8/26/1959,1.97
40,8/27/1959,1.964
41,8/28/1959,1.964
42,8/31/1959,1.972
43,9/1/1959,1.9769999999999999
44,9/2/1959,1.983
45,9/3/1959,1.982
46,9/4/1959,1.9809999999999999
47,9/8/1959,1.975
48,9/9/1959,1.9669999999999999
49,9/10/1959,1.966
50,9/11/1959,1.966
51,9/14/1959,1.966
52,9/15/1959,1.9669999999999999
53,9/16/1959,1.9569999999999999
54,9/17/1959,1.9569999999999999
55,9/18/1959,1.9609999999999999
56,9/21/1959,1.96
57,9/22/1959,1.942
58,9/23/1959,1.953
59,9/24/1959,1.953
60,9/25/1959,1.946
61,9/28/1959,1.946
62,9/29/1959,1.952
63,9/30/1959,1.964
64,10/1/1959,1.96
65,10/2/1959,1.963
66,10/5/1959,1.9569999999999999
67,10/6/1959,1.966
68,10/7/1959,1.97
69,10/8/1959,1.97
70,10/9/1959,1.966
71,10/12/1959,1.974
72,10/13/1959,1.973
73,10/14/1959,1.9669999999999999
74,10/15/1959,1.965
75,10/16/1959,1.976
76,10/19/1959,1.975
77,10/20/1959,1.9809999999999999
78,10/21/1959,2.0
79,10/22/1959,2.003
80,10/23/1959,2.0069999999999997
81,10/26/1959,2.003
82,10/27/1959,2.003
83,10/28/1959,2.011
84,10/29/1959,1.996
85,10/30/1959,2.003
86,11/2/1959,2.005
87,11/3/1959,2.004
88,11/4/1959,2.0
89,11/5/1959,1.996
90,11/6/1959,1.9969999999999999
91,11/9/1959,2.01
92,11/10/1959,2.02
93,11/11/1959,2.0140000000000002
94,11/12/1959,2.015
95,11/13/1959,2.026
96,11/16/1959,2.02
